time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
0,0.19327117331336574,0.058,0.0,0.89949847203306144,47.11475410205594,58.932,24.517067447349209,69.712440756762675,y,6
1,0.12443793647339596,0.058,0.0,0.87779672771190254,35.74244056997395,51.522,13.704343702853077,57.780537437094821,y,7
2,0.056515010837656754,0.054,0.0,0.85053783934955607,27.930734402957796,54.811,5.7864009769328391,50.075067828982753,y,7
3,0.019693094243371734,0.055,0.0,0.80827663321110788,25.923834409772553,49.463,3.5064501014033347,48.341218718141775,y,5
4,0.04449594842695925,0.058,0.0,0.77916103309033624,32.3055139977871,49.67,9.7083849771540649,54.902643018420136,y,5
5,0.08133431025481863,0.064,0.0,0.74559177685786615,42.80755878101843,49.8,20.075046620038147,65.540070941998707,y,5
6,0.13588390728020763,0.063,0.0,0.76430937287352174,59.426149108926325,49.533,36.689268323192763,82.163029894659886,y,6
7,0.1315142380900704,0.062,0.0,0.76644674909998667,60.54632251347739,53.399,37.867828823925791,83.224816203028993,y,6
8,0.15971748643752803,0.053,0.031675402790226098,0.28775957008483,51.87281077609606,53.8,29.209214553922571,74.536406998269541,g,7
9,0.13600944661444003,0.06,0.0,0.75732303742814888,62.30385238820236,52.333,39.604704868348009,85.002999908056708,y,7
10,0.05684110910243673,0.049,0.0,0.70203611292065871,43.47729744629379,52.067,20.869945602950914,66.084649289636673,y,5
11,0.05123164393812338,0.053,0.0,0.6964300194108004,41.7505211729827,49.197,19.144259116031307,64.356783229934095,y,5
12,0.04272134605385544,0.058,0.0,0.68129094734208973,41.03980011866594,46.003,18.573108400862768,63.50649183646911,y,3
13,0.0778807407411236,0.082,0.0,0.78629690690566278,44.281682293789345,46.464,21.801043445411853,66.76232114216684,y,3
14,0.11169978880529391,0.169,0.0,0.77455051481751669,48.18212319683457,47.469,25.697027192939458,70.667219200729676,y,3
15,0.0779691449988657,0.08,0.0,0.69696317297086807,45.60732991511827,44.112,23.152444214642106,68.06221561559444,y,3
16,0.07708814025355193,0.059,0.0,0.6912523657168973,46.762057526080085,47.017,24.307466575147679,69.216648477012484,y,4
17,0.045829670450169085,0.063,0.0,0.67137200298769262,42.11257393652667,43.6,19.79102014219675,64.434127730856602,y,2
18,0.06818602319118729,0.077,0.0,0.70560037873067316,41.24264352863344,44.864,18.917111439449208,63.568175617817666,y,3
19,0.0681963988426986,0.082,0.0,0.69220542918786943,42.14078672193796,45.667,19.80834781330493,64.47322563057098,y,2
20,0.05589777750942747,0.089,0.0,0.67567272456487781,40.61361399575061,43.4,18.430792113881513,62.796435877619714,y,3
21,0.17346480450257196,0.075,0.043867909306919611,0.30306169969822427,37.311419308476104,40.267,15.145427578777042,59.477411038175163,g,4
22,0.018515244168614164,0.07,0.0,0.6504096861714298,34.9972130859698,38.336,12.845084430181817,57.14934174175778,y,4
23,0.020946797482851137,0.059,0.0,0.65025908053031822,34.58941520032526,37.56,12.438178993988053,56.740651406662472,y,2
24,0.041715722417169976,0.099,0.0,0.70994238311891023,32.15415046645679,34.435,10.015876506226487,54.292424426687091,y,2
25,0.07035927143375398,0.247,0.0,0.73116743224649283,29.172567034213706,31.733,7.0450058799909883,51.300128188436425,y,2
26,0.019737377219618935,0.136,0.0,0.66454780893830478,29.998303865527078,32.6,7.8731316400413967,52.123476091012762,y,2
27,0.025895694068223757,0.064,0.0,0.6640715031660489,29.78150097101164,31.336,7.6682201760676456,51.894781765955628,y,4
28,0.14774007086392915,0.065,0.018935164207559224,0.27654497752029905,26.310317617369193,27.865,4.2308396487879634,48.389795585950424,g,5
29,0.1421452723008224,0.057,0.012940365956892436,0.27135017864475242,24.882285863188237,27.326,2.8049103478007318,46.959661378575746,g,5
30,0.13601480491572981,0.049,0.0063013216848722964,0.26572828814658733,21.909531409431487,24.402,0.0,43.986058138973377,g,6
31,0.13607346696210165,0.058,0.0062249963937246466,0.26592193753047866,24.665578322190413,27.065,2.5776803512836857,46.753476293097137,g,6
32,0.12103700949161622,0.043,0.0,0.25189955676414433,14.905789825153875,16.467,0.0,37.01847358970636,g,7
33,0.1233211001987029,0.049,0.0,0.25401375194236808,13.47735699064809,17.668,0.0,35.48992836771145,g,7
34,0.12053193820030395,0.05,0.0,0.25138077895578093,14.95442263063461,17.799,0.0,36.96232024021694,g,8
35,0.10021743156791327,0.049,0.0,0.23008505303192797,15.502617991486446,16.467,0.0,37.503400306759531,g,8
36,0.09999683188066907,0.048,0.0,0.229567957642101,16.237803330288706,16.333,0.0,38.226932238830059,g,8
37,0.09915562240978862,0.051,0.0,0.22845905385100629,16.906895690189657,16.6,0.0,38.885349505767095,g,8
38,0.10343291209449448,0.056,0.0,0.23217298873198569,19.968652360311424,19.467,0.0,41.949669378723897,g,8
39,0.09912802847470448,0.05,0.0,0.22784137827317169,18.842677257739325,18.06,0.0,40.690749917076175,g,8
40,0.1063078661601323,0.051,0.0,0.23445759890151024,25.076439394298944,25.011,3.2068693800011268,46.946009408596765,g,8
41,0.10712899654712532,0.052,0.0,0.23504833462084668,25.640352201518567,24.268,3.8597697616228146,47.42093464141432,g,8
42,0.10702020684584093,0.049,0.0,0.23482810175318802,26.81133633656404,26.467,5.0363187460061241,48.586353927121955,g,8
43,0.11062482744616467,0.054,0.0,0.23817282717032129,28.365938411252245,28.531,6.6331008825741868,50.098775939930306,g,8
44,0.10959532735497651,0.053,0.0,0.23708268778251462,29.42367786032743,29.8,7.6942561720373348,51.153099548617526,g,8
45,0.03776705099317185,0.055,0.0,0.6645815663678647,34.491151868819344,34.8,12.745846149722407,56.236457587916277,y,6
46,0.050125596868786176,0.053,0.0,0.6684988666721372,37.38858129294832,37.6,15.115712646741638,59.661449939154991,y,6
47,0.04436801020136008,0.053,0.0,0.66376770232021254,35.1542310480215,34.395,13.45680390605747,56.851658189985528,y,4
48,0.07523862007467678,0.066,0.0,0.68398710789467032,38.47024543944468,40.076,16.371850264946065,60.568640613943302,y,4
49,0.05918287995839604,0.057,0.0,0.67040611033436825,37.431383396899044,38.267,15.774389186877467,59.088377606920616,y,2
50,0.1148592579844816,0.218,0.0,0.74420780561124722,37.524421533233564,38.598,15.445919539561881,59.602923526905244,y,2
51,0.10851993184120845,0.771,0.0,0.71915677590928595,44.32982394216208,46.067,22.658361222388578,66.00128666193558,y,4
52,0.13884699430083897,0.061,0.011334615613876942,0.26635937298780099,47.79940813669637,48.467,25.686890124667322,69.911926148725428,g,7
53,0.10442194161602603,0.054,0.0,0.71692852942775565,51.31801094218925,49.738,29.662271951336663,72.97374993304183,y,7
54,0.09451669166549737,0.051,0.0,0.70770775892392868,51.36557234822653,49.733,29.31769994158369,73.413444754869374,y,7
55,0.07298962160007058,0.052,0.0,0.68596075165834502,44.67491426753574,46.733,23.036685270293052,66.313143264778432,y,6
56,0.07131623204320772,0.054,0.0,0.68385233130414402,44.36001458312421,45.203,22.339581289725444,66.380447876522979,y,6
57,0.0702252870546265,0.053,0.0,0.68205730495990025,43.2790351715533,46.533,21.273161010126394,65.28490933298022,y,5
58,0.10093196005066568,0.055,0.0,0.70894941164371805,43.830545103303706,47.13,22.208888751719442,65.45220145488797,y,5
59,0.08325903379141714,0.055,0.0,0.69293996289174031,40.19434188586902,42.467,18.537205990393222,61.851477781344826,y,5
60,0.08851933538033913,0.054,0.0,0.69668335507043277,44.322658862167,46.467,23.066917679218918,65.578400045115089,y,5
61,0.06498612167833206,0.053,0.0,0.67576366920224862,42.103988216915354,42.536,21.172705705058924,63.035270728771785,y,4
62,0.10437544217154265,0.058,0.0,0.71266680223796897,41.36996264036924,42.93,20.683032486785411,62.056892793953068,y,4
63,0.08991622814243733,0.058,0.0,0.69885768518155245,39.52384002757198,41.6,18.95880297190223,60.088877083241726,y,4
64,0.08837839304798564,0.062,0.0,0.70088126780251325,35.83069794181416,38.733,16.32033902597481,55.341056857653506,y,4
65,0.059494520678121776,0.059,0.0,0.6704224232576006,38.421210226431356,41.733,19.07188088813075,57.770539564731962,y,2
66,0.22079687117385072,0.098,0.0,0.87010007116909049,40.186249931365964,41.6,20.873640839697245,59.498859023034683,y,2
67,0.22898855977759958,0.553,0.0,0.86080454491114033,36.713376436732574,37.733,17.713279201530831,55.713473671934317,y,4
68,0.13988770287227204,0.674,0.0,0.75504018974356624,37.5077566745496,39.467,18.526775095287292,56.488738253811903,y,4
69,0.07399685225652552,0.062,0.0,0.68150026365920247,42.4177487961627,43.269,23.45498601834614,61.380511573979256,y,5
70,0.06651529927534544,0.063,0.0,0.67403441494342387,44.09245180594141,43.467,25.17856616769723,63.00633744418559,y,5
71,0.05154811529540927,0.058,0.0,0.66206632739134064,43.456688957783335,43.33,24.571198133602572,62.342179781964099,y,3
72,0.18922661202713983,0.099,0.0,0.80223376791937806,44.679695164667564,45.6,25.828550141388853,63.530840187946275,y,3
73,0.24475328455938727,0.13,0.0,0.86212795146274657,46.71893334474697,47.733,27.885756589681709,65.552110099812239,y,5
74,0.09621588861181996,0.094,0.0,0.70389233658426387,43.231821367747784,44.667,24.436760443491444,62.026882292004125,y,5
75,0.06847331271414936,0.054,0.0,0.67570810416672378,43.419317968330745,46.267,24.63235011777466,62.206285818886826,y,4
76,0.07443654341256736,0.07,0.0,0.68292511400582423,39.82109723784671,42.733,21.035102353564913,58.607092122128506,y,4
77,0.12147487028016053,0.072,0.0,0.7309395038476505,41.861449581593035,45.133,23.355815986631676,60.367083176554395,y,5
78,0.05546718163776965,0.069,0.0,0.66348544013772326,41.393657303400374,43.27,22.892931344147005,59.894383262653747,y,5
79,0.07223657387851415,0.055,0.0,0.67993118200623315,40.124965081846995,41.933,21.83826683542037,58.411663328273619,y,4
80,0.13320873325567442,0.071,0.0,0.74554900855503448,38.80245134953536,40.864,20.518811140159091,57.086091558911633,y,4
81,0.10375874500949689,0.073,0.0,0.71307565688710817,40.01828998776941,42.067,21.736134552728839,58.300445422809972,y,4
82,0.06083030291386146,0.066,0.0,0.66879566750274011,38.763479048175235,40.333,20.550937169776002,56.976020926574463,y,3
83,0.12343835360267233,0.07,0.0,0.73515229619980271,37.92030157453403,39.936,19.717103501212343,56.123499647855716,y,3
84,0.10287204949867229,0.07,0.0,0.71595497281570331,35.297434960752554,37.664,17.11193447437347,53.482935447131638,y,3
85,0.0780865397841774,0.084,0.0,0.68841631761153899,35.07200184974718,37.933,16.930331221143742,53.213672478350617,y,2
86,0.0925499218841648,0.07,0.0,0.70912990211566507,30.32560743563282,33.067,12.196482780531873,48.454732090733764,y,3
87,0.07941468570196067,0.098,0.0,0.69442581079156662,30.873686704004797,34.333,12.743598520782577,49.003774887227017,y,2
88,0.09244866603954102,0.058,0.0,0.71295666971560001,27.587622929223542,30.067,9.4658977767963961,45.709348081650688,y,3
89,0.1391939573963094,0.06,0.0,0.75783306247250048,29.203222624236247,31.736,11.084496172882996,47.321949075589501,y,4
90,0.10308342041183982,0.061,0.0,0.23112029277031421,23.882502241159187,25.527,5.8076723080580877,41.957332174260287,g,4
91,0.09370951466807309,0.047,0.0,0.22197032765530517,19.548542417224084,22.732,1.4842395090151079,37.612845325433057,g,4
92,0.0948358723046534,0.057,0.0,0.22298380343427318,20.005887091332752,23.4,1.9394203000113599,38.072353882654141,g,4
93,0.089755463319182,0.05,0.0,0.21777322377039388,18.826190934297287,20.866,0.76914909687381439,36.883232771720756,g,4
94,0.08703009230370294,0.066,0.0,0.21477992392862466,18.268786192699714,19.867,0.23164685108748984,36.305925534311939,g,4
95,0.08292895564869361,0.056,0.0,0.21055968377248285,17.118582480936265,18.333,0.0,35.091817857384186,g,4
96,0.0751668964809388,0.059,0.0,0.20296452333075637,14.091268496532138,15.467,0.0,32.052286371073656,g,3
97,0.06908563444148695,0.053,0.0,0.19692711419790521,12.29713272221849,14.334,0.0,30.244122754642937,g,3
98,0.06985857190135111,0.056,0.0,0.1971466534681249,13.30939315245341,15.133,0.0,31.213442203636362,g,2
99,0.0675637892907492,0.06,0.0,0.19460800327349403,12.670742057995744,13.532,0.0,30.571714729958799,g,2
100,0.06834171419657531,0.082,0.0,0.19504527761518445,12.436238634692314,13.2,0.0,30.337448962650654,g,2
101,0.06567872822936335,0.056,0.0,0.19206724600016026,11.867234517105206,12.533,0.0,29.642173976656302,g,2
102,0.0667696732158261,0.061,0.0,0.19262764259433274,12.530050640345443,13.2,0.0,30.300764342091089,g,2
103,0.06640048438814927,0.06,0.0,0.19187180154070635,12.622369995908098,12.999,0.0,30.274093271553511,g,2
104,0.05405327359769918,0.084,0.0,0.17347562386679488,17.982302680850125,18.068,0.31120725486000822,35.653398106840243,g,2
105,0.061005975875482954,0.083,0.0,0.18012616408838891,19.930426690500354,18.467,2.2690608545031132,37.591792526497599,g,2
106,0.10211522629126779,0.155,0.0,0.22106012766101912,28.214701138012856,26.672,10.610747455998954,45.818654820026758,g,2
107,0.10704619862372791,0.128,0.0,0.71172579596041907,40.360810941493924,36.733,22.707893970008055,58.013727912979789,y,3
108,0.14041747225936294,0.092,0.0,0.74339177984120031,42.68056965556667,37.667,25.022768968460465,60.338370342672874,y,4
109,0.14929766678694534,0.198,0.0,0.75133765837098676,55.28317504290362,52.404,37.637999630370736,72.928350455436515,y,4
110,0.10066001492022553,0.086,0.0,0.70275166581421078,64.70293103786881,60.471,47.038997367480519,82.366864708257097,y,5
111,0.1461226428249593,0.066,0.0,0.74882564187659417,60.676938522149214,58.051,43.074906957038813,78.278970087259609,y,6
112,0.1028116302620371,0.093,0.0,0.70487343204910169,73.38664502137675,74.884,55.635073374248286,91.138216668505208,y,6
113,0.1126461305982277,0.063,0.0,0.71447747088886571,76.51648994120627,75.867,58.761917876012646,94.271062006399902,y,6
114,0.10539788353635332,0.058,0.0,0.70680968964471091,72.28236315934558,73.605,54.550707500360069,90.014018818331095,y,6
115,0.10557732829603905,0.063,0.0,0.70656267450889076,69.46782079959934,74.129,51.752609761824161,87.183031837374514,y,6
116,0.09421249702562101,0.072,0.0,0.69432627659955348,66.0639979476188,72.0,48.369822483498709,83.758173411738895,y,6
117,0.08788559776928465,0.062,0.0,0.68739050322917583,63.439342260804466,69.733,45.771549420186602,81.10713510142233,y,6
118,0.08404361022263512,0.056,0.0,0.68313352909855607,63.17685585785786,68.8,45.491882599025359,80.861829116690359,y,6
119,0.06866148249615234,0.061,0.0,0.66838834410057235,65.28334445664768,69.267,47.611252490073838,82.955436423221528,y,5
120,0.1051303706963539,0.073,0.0,0.70467597719741304,66.03896825780414,68.2,48.408886705311801,83.669049810296485,y,5
121,0.11812439807575514,0.076,0.0,0.71849189788770562,68.71273732140729,70.333,51.074682802213388,86.35079184060119,y,5
122,0.13596584942400353,0.087,0.0,0.73720734622874518,67.52969767471899,68.8,49.934748124174121,85.124647225263857,y,6
123,0.07658212102047446,0.065,0.0,0.67512723015038789,65.44693978954243,67.605,48.363221891523288,82.530657687561558,y,6
124,0.09097900543218965,0.069,0.0,0.68929365338865833,62.647426421143265,66.462,45.917669219537345,79.377183622749186,y,6
125,0.09702819832011503,0.059,0.0,0.69521711069505643,60.784416909623886,65.404,44.461639606496973,77.107194212750798,y,6
126,0.06618821735831298,0.069,0.0,0.66282107654668065,57.291043431667134,62.195,41.055858821303573,73.526228042030695,y,5
