time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
0,0.0,8.377,0.0,4.1676220540707805,175.88080453444218,200.0,151.09442421292121,200.66718485596314,g,2
1,8.789160019441448e-102,3.396,0.0,4.407038942631468,228.82573428036733,200.0,204.45613924069721,253.19532932003744,g,2
2,0.0,2.341,0.0,3.5932118100432318,177.4732608057111,136.0,150.13100228295662,204.8155193284656,g,6
3,0.3719936505578092,1.361,0.0,1.0178295226057985,132.4376042179092,104.0,102.58564109304835,162.28956734277006,y,10
4,0.14711393059582267,0.314,0.0,0.79633474120552994,99.29096193618466,104.0,69.227578777946292,129.35434509442302,y,10
5,0.1702023655587529,0.055,0.0,0.84660541205597672,80.39524466482221,102.0,50.346308868203494,110.44418046144094,y,10
6,0.18450168047010518,0.052,0.0,0.86527143907228476,73.69558785770732,102.0,43.448836767826343,103.9423389475883,y,10
7,0.1834482966320211,0.057,0.0,0.85909395689474544,73.42961428874025,102.333,42.875177083401134,103.98405149407938,y,10
8,0.1070573703037303,0.055,0.0,0.75360053883402056,106.84483405707465,103.0,75.27125975900654,138.41840835514276,y,9
9,0.14308649446842187,0.051,0.0,0.79679104880888518,85.82795279567199,103.0,54.672664206690243,116.98324138465374,y,9
10,0.11863453029147863,0.057,0.0,0.76101776843153712,115.04564983575341,104.333,83.51271201120619,146.57858766030063,y,8
11,0.12402103388837947,0.052,0.0,0.26971347242739785,110.95535199698946,105.0,79.405145256177661,142.50555873780127,g,8
12,0.13483481873120717,0.058,0.0,0.28046656483323928,102.8457394931221,105.0,71.385250167116695,134.30622881912748,g,7
13,0.0958285142510566,0.056,0.0,0.73720272392600461,107.39715044727967,97.0,76.038320966540454,138.75597992801889,y,7
14,0.15744318240532712,0.058,0.0,0.80156973521436248,82.57131907141539,97.0,51.072908891358026,114.06972925147275,y,7
15,0.15477492544385274,0.057,0.0,0.80028167878149514,80.93466299650493,95.667,49.399452930600361,112.46987306240949,y,7
16,0.1527027856716966,0.062,0.0,0.79452862270468783,81.48647032548695,93.0,49.895486734591884,113.07745391638201,y,7
17,0.12867355102742556,0.052,0.0,0.7669716742212882,86.12787476444223,93.0,54.594702605867823,117.66104692301663,y,6
18,0.1381991078714832,0.057,0.0,0.77368762471730568,84.1944037922272,91.0,52.92242733031344,115.46638025414097,y,6
19,0.14474033984622514,0.057,0.0,0.78037312601832587,81.22488502394708,90.0,49.973004835215278,112.47676521267888,y,5
20,0.16566522021249863,0.053,0.0,0.79657406983530477,80.07397577441628,90.0,48.894285915861495,111.25366563297106,y,5
21,0.1386259821544149,0.055,0.0,0.77640889654569412,77.85209019804373,86.0,46.663307057768733,109.04087333831872,y,4
22,0.14876047297973244,0.066,0.0,0.78396192064323245,77.7354855497386,86.0,46.520612980309949,108.95035811916725,y,4
23,0.19190332265255128,0.067,0.0,0.82514542420594206,76.42033871734208,82.0,45.197957641913717,107.64271979277044,y,4
24,0.16523891038738592,0.06,0.0,0.80641889711543135,71.44949926807129,74.0,40.227016045651951,102.67198249049063,y,4
25,0.108423707177526,0.056,0.0,0.26318484815495591,69.44204940941496,74.0,38.220012739105108,100.66408607972483,g,3
26,1.400131831550432,0.067,1.1388800340315701,1.661383629069294,65.73243733659517,68.667,34.515882823060224,96.948991850130113,g,3
27,0.19892608769397402,0.087,0.0,0.85437007403127796,62.61356504963262,66.0,31.41002499555395,93.817105103711285,y,3
28,0.17392967736992426,0.072,0.0,0.82814317386639835,61.56786212444346,66.0,30.39002792873184,92.745696320155076,y,3
29,0.12419832521887031,0.067,0.0,0.27016451994178103,57.84110808395454,60.0,26.671521507022163,89.010694660886912,g,2
30,0.0,0.099,0.0,0.71536610088819619,56.15918031325513,60.0,24.999759152145181,87.318601474365067,g,2
31,0.15166594031938985,0.174,0.0,0.32241244477988651,53.5906746041947,56.667,22.448261449378847,84.733087759010559,g,2
32,0.12666974704606204,0.098,0.0,0.27222679396908089,48.20052352985161,50.0,17.070018100648301,79.331028959054919,g,2
33,0.11848448494782222,0.059,0.0,0.26411195681282107,45.45216268452287,50.0,14.355608990153844,76.548716378891896,g,3
34,0.12466089852534225,0.069,0.0,0.27176391585225762,37.69499687855378,39.333,6.5821641424370156,68.807829614670538,g,2
35,0.239723399716947,0.078,0.094329286205421969,0.38511751322847204,30.348538836731905,34.0,0.0,61.467111031841824,g,2
