name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH,1511675756088900439,search.9Y,1511675755197,2,0,True,0.914,45.7,7.1030559602e+09,20.2944456006,4.7997198e+06,19.1988792,1.3833695552e+09,23.0561592533,26.103,26.103,3431,22.8733333333,6.24,0.0195,0,0,1.38983079e+08,4.21160845455,5283.895,0.0016512171875,10.796,10.796,8.23470708e+07,0.0914967453333,3431,19.0611111111,9.02321361106e+10,36.0928544442,0,55,0.001,10.074,0.003,1,914.169,14.603,918.565,200,198.15,99.075,0,0,2078.852,17.3237666667,1.084,0,10.074
CLOUDSUITE_WEBSEARCH,1511675760432752501,search.9Y,1511675760197,2,0,True,0.859,42.95,7.233047656e+09,20.6658504457,6.0070338e+06,24.0281352,1.4611115592e+09,24.35185932,46.213,46.213,4384,29.2266666667,66.242,0.20700625,0,0,1.721412212e+08,5.21640064242,5307.121,0.0016584753125,22.72,22.72,9.039399892e+08,1.00437776578,4385,24.3611111111,8.75896209758e+10,35.0358483903,0,60,0.001,9.099,2.5,1,257.884,32,262.486,200,555.13,277.565,0.001,8.33333333333e-05,2141.477,17.8456416667,4.172,0.001,9.099
CLOUDSUITE_WEBSEARCH,1511675776121878960,search.9Y,1511675765197,4,0,True,0.591,29.55,9.9141087112e+09,28.3260248891,7.7202726e+06,30.8810904,2.1337698068e+09,35.5628301133,59.829,59.829,7474,49.8266666667,8.8,0.0275,0,0,3.305503326e+08,10.0166767455,5323.746,0.001663670625,23.096,23.096,9.330858498e+08,1.03676205533,7473,41.5166666667,1.01068630125e+11,40.4274520502,0,65,0.001,5.957,2.5,1,10946.761,27,10952.85,200,599.34,299.67,0,0,2161.934,18.0161166667,3.192,0,5.957
CLOUDSUITE_WEBSEARCH,1511675776538792790,search.9Y,1511675770197,4,0,True,0.515,25.75,8.7743910831e+09,25.0696888089,7.1093484e+06,28.4373936,1.9708133229e+09,32.846888715,59.899,59.899,7386,49.24,19.44,0.06075,0,0,3.36094649e+08,10.1846863333,5371.412,0.00167856625,23.701,23.701,4.667296455e+08,0.518588495,7386,41.0333333333,7.02655593658e+10,28.1062237463,0,70,0.001,4.435,2.5,1,394.629,27.8,399.06,200,586.975,146.74375,1.92,0.16,2199.178,18.3264833333,4.96,1.92,4.435
CLOUDSUITE_WEBSEARCH,1511675776591498125,search.9Y,1511675775198,4,0,True,0.506,25.3,8.6675183122e+09,24.7643380349,6.9317074e+06,27.7268296,1.9556082796e+09,32.5934713267,59.383,59.383,7477,49.8466666667,5.28,0.0165,0,0,3.379192252e+08,10.2399765212,5391.293,0.0016847790625,25.083,25.083,1.446579444e+08,0.160731049333,7478,41.5444444444,6.93922425434e+10,27.7568970174,0,75,0.001,3.017,2.5,1,38.957,30.594,43.809,200,593.7,148.425,3.84,0.32,2223.641,18.5303416667,4.184,3.84,3.017
CLOUDSUITE_WEBSEARCH,1511675788468486779,search.9Y,1511675780197,6,0,True,0.554,27.7,9.470457813e+09,27.0584508943,6.902295e+06,27.60918,2.0599480048e+09,34.3324667467,52.967,52.967,8320,55.4666666667,78.24,0.2445,0,0,3.436358096e+08,10.4132063515,5403.781,0.0016886815625,26.25,26.25,4.665129204e+08,0.518347689333,8293,46.0722222222,6.89666816018e+10,27.5866726407,0,80,0.001,2.735,2.5,1,8293.961,27.4,8298.485,200,398.39,99.5975,0.001,8.33333333333e-05,2245.469,18.7122416667,6.536,0.001,2.735
CLOUDSUITE_WEBSEARCH,1511675788884125933,search.9Y,1511675785197,6,0,True,0.747,37.35,9.583617149e+09,27.3817632829,7.159863e+06,28.639452,1.9813325226e+09,33.02220871,45.088,45.088,7264,48.4266666667,47.52,0.1485,0,0,2.614418958e+08,7.92248169091,5461.598,0.001706749375,25.514,25.514,4.037232691e+08,0.448581410111,7265,40.3611111111,6.64122700177e+10,26.5649080071,0,85,0.001,2.679,2.5,1,393.745,31.606,398.72,200,377,62.8333333333,43.842,3.6535,2274.797,18.9566416667,4.16,43.842,2.679
CLOUDSUITE_WEBSEARCH,1511675790580198844,search.9Y,1511675790203,6,0,True,0.757,37.85,9.69652447e+09,27.7043556286,7.099376e+06,28.397504,2.0070188742e+09,33.45031457,46.04,46.04,7258,48.3866666667,69.44,0.217,0,0,2.70585035e+08,8.19954651515,5525.234,0.001726635625,29.49,29.49,5.063086182e+08,0.562565131333,7258,40.3222222222,7.33957330806e+10,29.3582932322,0,90,0.001,2.667,2.5,1,398.89,37.148,404.036,104,381.53,63.5883333333,18.079,1.50658333333,2364.164,19.7013666667,7.112,18.079,2.667
CLOUDSUITE_WEBSEARCH,1511675803671699776,search.9Y,1511675795197,8,0,True,0.715,35.75,1.1277540963e+10,32.2215456086,8.4277166e+06,33.7108664,2.3531270696e+09,39.2187844933,60.312,60.312,7668,51.12,14.24,0.0445,0,0,3.279312296e+08,9.93730998788,5524.43,0.001726384375,32.994,32.994,1.743947266e+08,0.193771918444,7686,42.7,5.45246094698e+10,21.8098437879,0,95,0.001,1.677,2.5,1,8497.163,43.861,8501.631,104,601.2,100.2,0.001,8.33333333333e-05,2366.293,19.7191083333,5.75,0.001,1.677
CLOUDSUITE_WEBSEARCH,1511675804089312132,search.9Y,1511675800197,8,0,True,0.651,32.55,1.11997511286e+10,31.9992889389,8.4016757e+06,33.6067028,2.3545433116e+09,39.2423885267,61.68,61.68,8446,56.3066666667,33.28,0.104,0,0,3.39456622e+08,10.286564303,5527.004,0.00172718875,33.184,33.184,1.787297767e+08,0.198588640778,8446,46.9222222222,4.22918212644e+10,16.9167285058,0,100,0.001,1.186,2.45,1,398.343,40.8,402.824,104,600.21,75.02625,30.88,2.57333333333,2369.355,19.744625,9.434,30.88,1.186
CLOUDSUITE_WEBSEARCH,1511675805565518325,search.9Y,1511675805197,8,0,True,0.621,31.05,1.07796194166e+10,30.7989126189,8.1077428e+06,32.4309712,2.2680750724e+09,37.8012512067,61.419,61.419,8338,55.5866666667,111.84,0.3495,0,0,3.441244728e+08,10.4280143273,5550.828,0.00173463375,36.016,36.016,2.320071982e+08,0.257785775778,8337,46.3166666667,4.25817417796e+10,17.0326967118,0,105,0.001,1.325,2.45,1,389.048,40.592,394.273,104,591.85,73.98125,0.001,8.33333333333e-05,2388.551,19.9045916667,6.18,0.001,1.325
CLOUDSUITE_WEBSEARCH,1511675817672983846,search.9Y,1511675810197,10,0,True,0.554,27.7,1.06638537858e+10,30.4681536737,7.0869118e+06,28.3476472,2.3144016802e+09,38.5733613367,76.496,76.496,9294,61.96,11.36,0.0355,0,0,3.759191924e+08,11.3914906788,5552.777,0.0017352428125,32.256,32.256,4.420138656e+08,0.491126517333,9294,51.6333333333,4.89026675472e+10,19.5610670189,0,110,0.001,1.571,2.5,1,7498.411,37.007,7503.689,104,789.02,98.6275,0.001,8.33333333333e-05,2395.793,19.9649416667,9.998,0.001,1.571
CLOUDSUITE_WEBSEARCH,1511675817948103973,search.9Y,1511675815197,10,0,True,0.482,24.1,9.9485780118e+09,28.4245086051,7.3388058e+06,29.3552232,2.2265401684e+09,37.1090028067,72.381,72.381,8665,57.7666666667,34.4,0.1075,0,0,3.924812252e+08,11.8933704606,5558.168,0.0017369275,46.929,46.929,1.03449879e+08,0.11494431,8655,48.0833333333,5.35677781396e+10,21.4271112558,0,115,0.001,0.831,2.5,1,256.67,64.4,262.031,104,803.92,80.392,0.001,8.33333333333e-05,2396.859,19.973825,6.096,0.001,0.831
CLOUDSUITE_WEBSEARCH,1511675820562936605,search.9Y,1511675820197,10,0,True,1.169,58.45,1.27752114082e+10,36.5006040234,8.0025452e+06,32.0101808,2.3710627866e+09,39.51771311,34.458,34.458,8959,59.7266666667,64.8,0.2025,0,0,1.76612339e+08,5.35188906061,5555.645,0.0017361390625,47.197,47.197,1.520279952e+08,0.168919994667,8958,49.7666666667,1.4129290902e+09,0.56517163608,0,120,0.001,0.056,0.145,1,387.66,54.389,391.937,104,329.25,32.925,0.002,0.000166666666667,2397.266,19.9772166667,14.724,0.002,0.056
CLOUDSUITE_WEBSEARCH,1511675835155496264,search.9Y,1511675825197,10,0,True,1.138,56.9,1.12996243116e+10,32.2846408903,6.2098512e+06,24.8394048,2.0623113994e+09,34.3718566567,34.078,34.078,9677,64.5133333333,36.48,0.114,0,0,1.626580272e+08,4.92903112727,5555.914,0.001736223125,44.913,44.913,6.55675514e+07,0.0728528348889,9674,53.7444444444,1.2189392508e+09,0.48757570032,0,125,0.001,0.055,0.12,1,9979.954,50.61,9985.065,104,272.78,27.278,0.002,0.000166666666667,2397.328,19.9777333333,9.092,0.002,0.055
CLOUDSUITE_WEBSEARCH,1511675835565377664,search.9Y,1511675830197,10,0,True,1.134,56.7,1.0993116125e+10,31.4089032143,5.862608e+06,23.450432,1.9743290281e+09,32.9054838017,31.875,31.875,9005,60.0333333333,45.2,0.14125,0,0,1.599176262e+08,4.84598867273,5555.242,0.001736013125,40.776,40.776,6.29781523e+07,0.0699757247778,9008,50.0444444444,1.0864674458e+09,0.43458697832,0,130,0.001,0.051,0.123,1,388.785,45.4,394.022,102,276.64,27.664,6.001,0.500083333333,2398.471,19.9872583333,10.28,6.001,0.051
