name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511675776131356255,search.9Y,1511675765197,4,0,True,0.591,29.55,9.9141087112e+09,28.3260248891,7.7202726e+06,30.8810904,2.1337698068e+09,35.5628301133,59.829,59.829,7474,49.8266666667,8.8,0.0275,0,0,3.305503326e+08,10.0166767455,5323.746,0.001663670625,23.096,23.096,9.330858498e+08,1.03676205533,7473,41.5166666667,1.01068630125e+11,40.4274520502,0,65,0.001,1.668,2.5,1,10946.761,200,10952.85,200,599.34,225.437,0,0,2161.934,18.0161166667,3.192,0,8.377
CLOUDSUITE_WEBSEARCH_AGG,1511675788478985999,search.9Y,1511675780197,6,0,True,0.554,27.7,9.470457813e+09,27.0584508943,6.902295e+06,27.60918,2.0599480048e+09,34.3324667467,52.967,52.967,8320,55.4666666667,78.24,0.2445,0,0,3.436358096e+08,10.4132063515,5403.781,0.0016886815625,26.25,26.25,4.665129204e+08,0.518347689333,8293,46.0722222222,6.89666816018e+10,27.5866726407,0,80,0.001,2.5,2.5,1,8293.961,200,8298.485,200,398.39,131.589,0.001,8.33333333333e-05,2245.469,18.7122416667,6.536,0.001,3.396
CLOUDSUITE_WEBSEARCH_AGG,1511675803679404855,search.9Y,1511675795197,8,0,True,0.715,35.75,1.1277540963e+10,32.2215456086,8.4277166e+06,33.7108664,2.3531270696e+09,39.2187844933,60.312,60.312,7668,51.12,14.24,0.0445,0,0,3.279312296e+08,9.93730998788,5524.43,0.001726384375,32.994,32.994,1.743947266e+08,0.193771918444,7686,42.7,5.45246094698e+10,21.8098437879,0,95,0.001,2.5,2.5,1,8497.163,136,8501.631,104,601.2,75.541,0.001,8.33333333333e-05,2366.293,19.7191083333,5.75,0.001,2.341
CLOUDSUITE_WEBSEARCH_AGG,1511675817679969463,search.9Y,1511675810197,10,0,True,0.554,27.7,1.06638537858e+10,30.4681536737,7.0869118e+06,28.3476472,2.3144016802e+09,38.5733613367,76.496,76.496,9294,61.96,11.36,0.0355,0,0,3.759191924e+08,11.3914906788,5552.777,0.0017352428125,32.256,32.256,4.420138656e+08,0.491126517333,9294,51.6333333333,4.89026675472e+10,19.5610670189,0,110,0.001,2.467,2.5,1,7498.411,104,7503.689,104,789.02,82.545,0.001,8.33333333333e-05,2395.793,19.9649416667,9.998,0.001,1.361
CLOUDSUITE_WEBSEARCH_AGG,1511675835164295536,search.9Y,1511675825197,10,0,True,1.138,56.9,1.12996243116e+10,32.2846408903,6.2098512e+06,24.8394048,2.0623113994e+09,34.3718566567,34.078,34.078,9677,64.5133333333,36.48,0.114,0,0,1.626580272e+08,4.92903112727,5555.914,0.001736223125,44.913,44.913,6.55675514e+07,0.0728528348889,9674,53.7444444444,1.2189392508e+09,0.48757570032,0,125,0.001,0.922,0.12,1,9979.954,104,9985.065,104,272.78,46.865,0.002,0.000166666666667,2397.328,19.9777333333,9.092,0.002,0.314
CLOUDSUITE_WEBSEARCH_AGG,1511675849131116119,search.9Y,1511675840196,10,0,True,1.127,56.35,1.17545012554e+10,33.5842893011,6.3720626e+06,25.4882504,2.1440034104e+09,35.7333901733,34.956,34.956,9878,65.8533333333,32.8,0.1025,0,0,1.644666462e+08,4.98383776364,5563.238,0.001738511875,42.623,42.623,4.51921066e+07,0.0502134517778,9876,54.8666666667,1.182281918e+09,0.4729127672,0,140,0.001,0.129,0.14,1,8947.46,102,8953.548,102,242.38,27.716,0.002,0.000166666666667,2403.613,20.0301083333,13.674,0.002,0.055
CLOUDSUITE_WEBSEARCH_AGG,1511675864116055655,search.9Y,1511675855196,10,0,True,1.088,54.4,9.450415906e+09,27.0011883029,5.2235766e+06,20.8943064,1.7107857158e+09,28.5130952633,28.924,28.924,8924,59.4933333333,41.92,0.131,0,0,1.305181776e+08,3.95509629091,5559.777,0.0017374303125,38.577,38.577,9.9609275e+07,0.110676972222,8926,49.5888888889,1.1375976806e+09,0.45503907224,0,155,0.001,0.132,0.143,1,8934.478,102,8940.456,102,238.89,28.541,0.001,8.33333333333e-05,2405.203,20.0433583333,8.158,0.001,0.052
CLOUDSUITE_WEBSEARCH_AGG,1511675880369860874,search.9Y,1511675870216,10,0,True,1.196,59.8,1.27821755506e+10,36.5205015731,5.8603226e+06,23.4412904,2.2962080912e+09,38.2701348533,35.614,35.614,9025,60.1666666667,18.4,0.0575,0,0,1.534024986e+08,4.64856056364,5562.652,0.00173832875,41.084,41.084,4.02902102e+07,0.0447669002222,9025,50.1388888889,1.303940044e+09,0.5215760176,0,170,0.001,0.136,0.15,2,10169.715,102.333,10174.347,103,314.74,30.335,0.001,8.33333333333e-05,2406.879,20.057325,13.598,0.001,0.057
CLOUDSUITE_WEBSEARCH_AGG,1511675895353140270,search.9Y,1511675885196,9,0,True,1.133,56.65,1.33590232368e+10,38.1686378194,6.7254278e+06,26.9017112,2.6230911798e+09,43.71818633,40.52,40.52,9395,62.6333333333,57.6,0.18,0,0,2.613552634e+08,7.91985646667,7042.977,0.0022009303125,46.26,46.26,6.54146594e+07,0.0726829548889,9395,52.1944444444,1.9713650492e+09,0.78854601968,0,185,0.001,0.124,0.12,2,10172.242,103,10177.614,103,324.54,34.799,0.002,0.000166666666667,2408.875,20.0739583333,8.496,0.002,0.055
CLOUDSUITE_WEBSEARCH_AGG,1511675910263848726,search.9Y,1511675900196,9,0,True,1.056,52.8,1.28941693182e+10,36.8404837663,6.6978346e+06,26.7913384,2.373012427e+09,39.5502071167,40.262,40.262,9782,65.2133333333,103.04,0.322,0,0,3.271436292e+08,9.91344330909,8111.227,0.0025347584375,45.43,45.43,1.772430678e+08,0.196936742,9782,54.3444444444,7.232634258e+08,0.28930537032,0,200,0.001,0.124,0.12,2,10082.919,103,10089.118,103,279.03,31.922,0.002,0.000166666666667,2412.898,20.1074833333,13.518,0.002,0.051
