name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511252954387960650,search.8W,1511252953501,4,0,True,0.845,42.25,4.9046302868e+09,14.0132293909,3.8378106e+06,15.3512424,9.034930872e+08,15.05821812,16.692,16.692,5441,36.2733333333,7.52,0.0235,0,0,1.134842218e+08,3.43891581212,5584.68,0.0017452125,13.725,13.725,8.2829902e+07,0.0920332244444,5442,30.2333333333,1.5854890268e+09,0.63419561072,0,65,0.001,0.534,0.143,1,865.624,93.589,870.636,200,229.59,28.4,0,0,2522.191,21.0182583333,8.179,0,0.534
CLOUDSUITE_WEBSEARCH_AGG,1511252969416164783,search.8W,1511252968501,4,0,True,0.793,39.65,4.5596246376e+09,13.0274989646,3.5072742e+06,14.0290968,8.243640904e+08,13.7394015067,15.774,15.774,5209,34.7266666667,46.88,0.1465,0,0,1.152894722e+08,3.4936203697,5600.742,0.001750231875,15.606,15.606,2.19851442e+07,0.024427938,5210,28.9444444444,1.567558006e+09,0.6270232024,0,80,0.001,0.047,0.098,1,892.711,54.001,898.338,200,75.677,17.005,0,0,2534.949,21.124575,3.94,0,0.047
CLOUDSUITE_WEBSEARCH_AGG,1511252984537690327,search.8W,1511252983501,4,0,True,0.861,43.05,5.3180067444e+09,15.194304984,3.5972628e+06,14.3890512,9.35594865e+08,15.59324775,18.555,18.555,5567,37.1133333333,5.28,0.0165,0,0,1.234883934e+08,3.74207252727,5619.762,0.001756175625,15.151,15.151,3.9302312e+07,0.0436692355556,5568,30.9333333333,1.5608917564e+09,0.62435670256,0,95,0.001,0.061,0.12,1,1012.15,53.396,1017.761,36,110.947,27.6975,0,0,2558.516,21.3209666667,4.047,0,0.061
CLOUDSUITE_WEBSEARCH_AGG,1511252999395519268,search.8W,1511252998501,4,0,True,0.835,41.75,4.6853024382e+09,13.3865783949,3.658708e+06,14.634832,8.567122058e+08,14.2785367633,18.139,18.139,5643,37.62,13.76,0.043,0,0,1.19147375e+08,3.61052651515,5617.488,0.001755465,17.385,17.385,3.31668092e+07,0.0368520102222,5645,31.3611111111,1.3390699672e+09,0.53562798688,0,110,0.001,0.051,0.135,1,872.987,55.404,877.648,36,58.543,14.0225,0,0,2558.695,21.3224583333,3.94,0,0.051
CLOUDSUITE_WEBSEARCH_AGG,1511253014414702469,search.8W,1511253013501,4,0,True,0.816,40.8,4.479526147e+09,12.7986461343,3.0669292e+06,12.2677168,8.117486696e+08,13.5291444933,16.996,16.996,4997,33.3133333333,7.2,0.0225,0,0,1.071382678e+08,3.24661417576,5623.867,0.0017574584375,14.178,14.178,1.02449834e+07,0.0113833148889,4998,27.7666666667,1.5257805444e+09,0.61031221776,0,125,0.001,0.054,0.15,1,890.977,51.401,895.785,36,82.813,31.9675,0,0,2565.301,21.3775083333,4,0,0.054
CLOUDSUITE_WEBSEARCH_AGG,1511253029567867927,search.8W,1511253028501,4,0,True,0.81,40.5,4.3392494638e+09,12.3978556109,3.2519648e+06,13.0078592,8.074776402e+08,13.45796067,17.891,17.891,4911,32.74,11.04,0.0345,0,0,1.192301054e+08,3.61303349697,5624.133,0.0017575415625,13.013,13.013,3.3294117e+07,0.0369934633333,4912,27.2888888889,1.5576737218e+09,0.62306948872,0,140,0.001,0.057,0.118,1,1042.389,45.001,1047.824,34,75.01,15.295,0,0,2565.844,21.3820333333,3.137,0,0.057
CLOUDSUITE_WEBSEARCH_AGG,1511253044695088998,search.8W,1511253043500,4,0,True,0.865,43.25,4.9038967658e+09,14.0111336166,3.4963434e+06,13.9853736,8.51925164e+08,14.1987527333,18.116,18.116,5406,36.04,18.88,0.059,0,0,9.6221606e+07,2.91580624242,5625.27,0.001757896875,16.148,16.148,1.8867877e+07,0.0209643077778,5407,30.0388888889,1.029090587e+09,0.4116362348,0,155,0.001,0.063,0.123,1,1169.762,53.6,1174.442,34,84.077,12.635,0,0,2566.184,21.3848666667,3.999,0,0.063
CLOUDSUITE_WEBSEARCH_AGG,1511253059595369041,search.8W,1511253058559,4,0,True,0.807,40.35,4.364405159e+09,12.4697290257,3.3318828e+06,13.3275312,7.858783072e+08,13.0979717867,16.625,16.625,5002,33.3466666667,1.6,0.005,0,0,1.142963256e+08,3.46352501818,5622.73,0.001757103125,15.348,15.348,1.002382056e+08,0.111375784,5002,27.7888888889,1.2699052718e+09,0.50796210872,0,170,0.001,0.053,0.105,1,1013.488,48.534,1019.75,34,75.263,18.035,0,0,2567.082,21.39235,3.135,0,0.053
CLOUDSUITE_WEBSEARCH_AGG,1511253075077911632,search.8W,1511253073500,4,0,True,0.95,47.5,6.7407944848e+09,19.2594128137,5.9097068e+06,23.6388272,1.2614323868e+09,21.0238731133,22.401,22.401,5811,38.74,1998.245,6.244515625,0,0,1.475620232e+08,4.47157646061,5629.047,0.0017590771875,50.087,50.087,1.746813724e+08,0.194090413778,5810,32.2777777778,1.4433888534e+09,0.57735554136,0,185,0.001,0.057,0.11,1,1554.178,61.074,1559.863,34,119.107,31.455,0.001,8.33333333333e-05,2567.246,21.3937166667,4.751,0.001,0.057
CLOUDSUITE_WEBSEARCH_AGG,1511253089560569184,search.8W,1511253088501,4,0,True,0.846,42.3,8.7686369296e+09,25.0532483703,5.169169e+06,20.676676,2.0827692166e+09,34.7128202767,38.32,38.32,8658,57.72,42.24,0.132,0,0,2.795204048e+08,8.47031529697,6560.941,0.0020502940625,18.625,18.625,7.87794536e+07,0.0875327262222,8658,48.1,4.5073277246e+09,1.80293108984,0,200,0.001,0.061,0.125,2,1036.856,56.8,1041.339,34,100.513,30.12,0,0,2567.391,21.394925,3.824,0,0.061
CLOUDSUITE_WEBSEARCH_AGG,1511253104521273518,search.8W,1511253103501,4,0,True,0.719,35.95,6.7353902798e+09,19.243972228,4.0991936e+06,16.3967744,1.2997569956e+09,21.6626165933,31.088,31.088,5789,38.5933333333,9.6,0.03,0,0,2.972717976e+08,9.00823629091,7881.793,0.0024630603125,15.699,15.699,1.50760274e+07,0.0167511415556,5787,32.15,3.036222873e+09,1.2144891492,0,215,0.001,0.053,0.125,2,997.441,56.197,1003.893,38,65.383,23.625,19.68,1.64,2568.652,21.4054333333,4.347,19.68,0.053
CLOUDSUITE_WEBSEARCH_AGG,1511253119596149117,search.8W,1511253118501,4,0,True,0.773,38.65,7.0601062578e+09,20.1717321651,3.6825124e+06,14.7300496,1.2895868928e+09,21.49311488,30.295,30.295,5749,38.3266666667,3722.027,11.631334375,0,0,2.73943628e+08,8.30132206061,8347.152,0.002608485,18.361,18.361,7.0498965e+07,0.0783321833333,5749,31.9388888889,2.1294608908e+09,0.85178435632,0,230,0.001,0.054,0.113,2,1069.254,62.604,1075.387,38,121.4,33.475,0.001,8.33333333333e-05,2571.367,21.4280583333,4.417,0.001,0.054
CLOUDSUITE_WEBSEARCH_AGG,1511253134637638189,search.8W,1511253133501,4,0,True,0.809,40.45,7.4358907062e+09,21.2454020177,3.833096e+06,15.332384,1.4057695732e+09,23.4294928867,29.419,29.419,6329,42.1933333333,10.72,0.0335,0,0,2.845950632e+08,8.62409282424,8347.758,0.002608674375,19.899,19.899,5.79132002e+07,0.0643480002222,6329,35.1611111111,2.2035342854e+09,0.88141371416,0,245,0.001,0.052,0.13,2,1113.105,72.195,1118.842,38,120.38,18.7025,0.001,8.33333333333e-05,2570.27,21.4189166667,5.201,0.001,0.052
CLOUDSUITE_WEBSEARCH_AGG,1511253149414111747,search.8W,1511253148501,4,0,True,0.903,45.15,8.9698546092e+09,25.6281560263,4.0105502e+06,16.0422008,1.607195452e+09,26.7865908667,33.596,33.596,7172,47.8133333333,22.56,0.0705,0,0,2.558870704e+08,7.75415364848,8346.434,0.002608260625,23.304,23.304,5.94056964e+07,0.0660063293333,7168,39.8222222222,1.3961245052e+09,0.55844980208,0,260,0.001,0.061,0.15,2,891.991,77.999,896.757,46,149.687,51.945,0.001,8.33333333333e-05,2570.746,21.4228833333,5.147,0.001,0.061
CLOUDSUITE_WEBSEARCH_AGG,1511253164659673430,search.8W,1511253163501,4,0,True,0.827,41.35,7.9805509914e+09,22.8015742611,3.7431076e+06,14.9724304,1.4775593532e+09,24.62598922,31.469,31.469,7009,46.7266666667,42.24,0.132,0,0,3.070921424e+08,9.30582249697,8345.727,0.0026080396875,20.037,20.037,4.85109546e+07,0.0539010606667,7009,38.9388888889,2.253644698e+09,0.9014578792,0,275,0.001,0.056,0.125,2,1136.144,84.606,1141.364,46,132.607,30.1875,0,0,2572.676,21.4389666667,6.568,0,0.056
CLOUDSUITE_WEBSEARCH_AGG,1511253179687861807,search.8W,1511253178500,4,0,True,1.01,50.5,8.389506287e+09,23.9700179629,4.6070418e+06,18.4281672,1.5623216372e+09,26.0386939533,33.87,33.87,7699,51.3266666667,22.08,0.069,0,0,2.272516792e+08,6.88641452121,8344.91,0.002607784375,23.532,23.532,5.04561802e+07,0.0560624224444,7699,42.7722222222,1.3360269248e+09,0.53441076992,0,290,0.001,0.055,0.135,2,1164.697,84.6,1170.227,56,149.497,43.7775,0.002,0.000166666666667,2574.996,21.4583,5.947,0.002,0.055
