name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH,1511233534059340568,search.8V,1511233532876,6,0,True,1.248,62.4,2.15717794394e+10,61.6336555411,1.33357386e+07,53.3429544,3.6713635378e+09,61.1893922967,49.396,49.396,8932,59.5466666667,58.56,0.183,0,0,3.011844976e+08,9.12680295758,5481.266,0.001712895625,65.429,65.429,2.653574612e+08,0.294841623556,8932,49.6222222222,3.10772106182e+10,12.4308842473,0,55,0.001,0.141,0.145,1,1168.287,45.6,1172.784,200,318.92,53.1533333333,0.005,0.000416666666667,2358.867,19.657225,23.732,0.005,0.141
CLOUDSUITE_WEBSEARCH,1511233538251728395,search.8V,1511233537876,6,0,True,1.048,52.4,8.4064718822e+09,24.018491092,5.1686606e+06,20.6746424,1.4232629368e+09,23.7210489467,23.678,23.678,7437,49.58,106.4,0.3325,0,0,1.626433366e+08,4.92858595758,5482.566,0.001713301875,20.427,20.427,1.423988156e+08,0.158220906222,7423,41.2388888889,1.6868891698e+09,0.67475566792,0,60,0.001,0.047,0.115,1,360.813,19.2,366.847,200,128.19,21.365,0,0,2360.012,19.6667666667,3.888,0,0.047
CLOUDSUITE_WEBSEARCH,1511233543928151875,search.8V,1511233542876,6,0,True,0.842,42.1,4.5806666748e+09,13.0876190709,3.731008e+06,14.924032,8.26591101e+08,13.77651835,16.753,16.753,6074,40.4933333333,25.76,0.0805,0,0,1.109862158e+08,3.36321866061,5488.793,0.0017152478125,15.031,15.031,1.850496624e+08,0.205610736,6075,33.75,1.312634019e+09,0.5250536076,0,65,0.001,0.046,0.098,1,1037.113,18.8,1042.945,200,70.42,11.7366666667,0.001,8.33333333333e-05,2364.473,19.7039416667,5.018,0.001,0.046
CLOUDSUITE_WEBSEARCH,1511233548266372879,search.8V,1511233547876,6,0,True,0.879,43.95,5.1286582528e+09,14.6533092937,4.15564e+06,16.62256,9.026605826e+08,15.0443430433,21.676,21.676,5881,39.2066666667,59.84,0.187,0,0,1.251060224e+08,3.79109158788,5486.555,0.0017145484375,19.604,19.604,1.28459756e+08,0.142733062222,5884,32.6888888889,1.1513889016e+09,0.46055556064,0,70,0.001,0.059,0.12,1,376.28,19.6,381.325,200,115.24,19.2066666667,0.001,8.33333333333e-05,2364.641,19.7053416667,3.428,0.001,0.059
CLOUDSUITE_WEBSEARCH,1511233553145222406,search.8V,1511233552876,6,0,True,0.925,46.25,5.573955454e+09,15.9255870114,3.9092128e+06,15.6368512,9.578200162e+08,15.9636669367,20.83,20.83,5584,37.2266666667,7.84,0.0245,0,0,1.09053624e+08,3.30465527273,5486.566,0.001714551875,13.873,13.873,6.99369196e+07,0.0777076884444,5584,31.0222222222,6.165964924e+08,0.24663859696,0,75,0.001,0.048,0.105,1,253.957,17,259.061,200,74.69,12.4483333333,0.001,8.33333333333e-05,2365.176,19.7098,4.518,0.001,0.048
CLOUDSUITE_WEBSEARCH,1511233558923328239,search.8V,1511233557876,6,0,True,0.813,40.65,4.4815108672e+09,12.8043167634,3.4917912e+06,13.9671648,7.873528286e+08,13.1225471433,17.994,17.994,5290,35.2666666667,13.6,0.0425,0,0,1.120222968e+08,3.39461505455,5485.422,0.001714194375,14.189,14.189,3.06902792e+07,0.0341003102222,5290,29.3888888889,1.4053982276e+09,0.56215929104,0,80,0.001,0.056,0.135,1,1032.551,14.6,1038.123,200,42.58,7.09666666667,0,0,2364.926,19.7077166667,2.808,0,0.056
CLOUDSUITE_WEBSEARCH,1511233563253230171,search.8V,1511233562876,6,0,True,0.853,42.65,5.1471627138e+09,14.7061791823,3.9069902e+06,15.6279608,9.356536354e+08,15.5942272567,20.661,20.661,5829,38.86,59.2,0.185,0,0,1.19256091e+08,3.61382093939,5491.684,0.00171615125,15.856,15.856,2.544742122e+08,0.282749124667,5830,32.3888888889,1.354156208e+09,0.5416624832,0,85,0.001,0.054,0.133,1,361.281,18.796,367.211,200,57.26,9.54333333333,9.92,0.826666666667,2369.734,19.7477833333,4.084,9.92,0.054
CLOUDSUITE_WEBSEARCH,1511233568317895887,search.8V,1511233567950,6,0,True,0.902,45.1,5.5071799412e+09,15.734799832,3.5909566e+06,14.3638264,9.54322985e+08,15.9053830833,21.02,21.02,5632,37.5466666667,24.48,0.0765,0,0,1.155906112e+08,3.50274579394,5490.449,0.0017157653125,17.893,17.893,1.292322078e+08,0.143591342,5630,31.2777777778,1.1295363864e+09,0.45181455456,0,90,0.001,0.05,0.115,1,353.153,17.15,358.358,36,103.64,17.2733333333,0,0,2369.734,19.7477833333,3.584,0,0.05
CLOUDSUITE_WEBSEARCH,1511233573975029222,search.8V,1511233572878,6,0,True,0.873,43.65,4.7735121e+09,13.638606,3.2471984e+06,12.9887936,7.983156968e+08,13.3052616133,18.903,18.903,4886,32.5733333333,33.92,0.106,0,0,1.064838492e+08,3.22678330909,5488.242,0.001715075625,12.218,12.218,1.217908268e+08,0.135323140889,4886,27.1444444444,4.785186016e+08,0.19140744064,0,95,0.001,0.057,0.128,1,1082.78,15.828,1087.166,36,70.95,11.825,21.923,1.82691666667,2369.996,19.7499666667,3.992,21.923,0.057
CLOUDSUITE_WEBSEARCH,1511233578297470611,search.8V,1511233577876,6,0,True,1.096,54.8,6.0191553406e+09,17.1975866874,3.8877974e+06,15.5511896,1.016842114e+09,16.9473685667,21.773,21.773,6195,41.3,101.28,0.3165,0,0,1.221857452e+08,3.70259833939,5496.848,0.001717765,18.188,18.188,2.664436126e+08,0.296048458444,6210,34.5,1.089019395e+09,0.435607758,0,100,0.001,0.058,0.143,1,406.102,17.804,411.912,36,164.63,27.4383333333,0.002,0.000166666666667,2371.41,19.76175,3.36,0.002,0.058
CLOUDSUITE_WEBSEARCH,1511233583280019840,search.8V,1511233582876,6,0,True,0.882,44.1,5.047417687e+09,14.4211933914,3.609331e+06,14.437324,8.835073386e+08,14.72512231,19.484,19.484,5561,37.0733333333,3.2,0.01,0,0,1.190143126e+08,3.60649432121,5497.117,0.0017178490625,15.974,15.974,5.2573017e+07,0.0584144633333,5561,30.8944444444,1.3734046876e+09,0.54936187504,0,105,0.001,0.057,0.133,1,389.896,17.403,394.352,36,119.82,19.97,0.16,0.0133333333333,2379.672,19.8306,5.168,0.16,0.057
