interval,count
100,1
200,1
300,2
400,2
500,2
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,3
1300,3
1400,3
1500,3
1600,3
1700,3
1800,3
1900,3
2000,3
2100,2
2200,2
2300,2
2400,3
2500,3
2600,3
2700,3
2800,4
2900,4
3000,4
3100,4
3200,4
3300,3
3400,3
3500,3
3600,2
3700,2
3800,2
3900,2
4000,1
4100,1
4200,1
4300,2
4400,2
4500,2
4600,2
4700,2
4800,3
4900,3
5000,3
5100,3
5200,3
5300,3
5400,3
5500,3
5600,3
5700,2
5800,2
5900,2
6000,3
6100,3
6200,3
6300,3
6400,4
6500,4
6600,4
6700,3
6800,3
6900,3
7000,2
7100,2
7200,1
7300,1
