interval,count
100,1
200,1
300,3
400,3
500,3
600,1
700,1
800,3
900,3
1000,3
1100,3
1200,4
1300,4
1400,4
1500,4
1600,4
1700,4
1800,4
1900,4
2000,4
2100,3
2200,3
2300,3
2400,4
2500,4
2600,4
2700,4
2800,5
2900,5
3000,5
3100,5
3200,5
3300,4
3400,4
3500,4
3600,3
3700,3
3800,3
3900,3
4000,1
4100,1
4200,1
4300,3
4400,3
4500,3
4600,3
4700,3
4800,4
4900,4
5000,4
5100,4
5200,4
5300,4
5400,4
5500,4
5600,4
5700,3
5800,3
5900,3
6000,4
6100,4
6200,4
6300,4
6400,5
6500,5
6600,5
6700,4
6800,4
6900,4
7000,3
7100,3
7200,1
7300,1
