name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH,1511734944875350281,search.10C,1511734944157,2,0,True,0.953,47.65,7.5707629514e+09,21.6307512897,5.8565226e+06,23.4260904,1.429209606e+09,23.8201601,27.431,27.431,4911,32.74,90.72,0.2835,0,0,1.540119412e+08,4.66702852121,5297.441,0.0016554503125,20.622,20.622,3.546054522e+08,0.394006058,4910,27.2777777778,6.29893192112e+10,25.1957276845,0,55,0.001,6.956,2.5,1,761.095,31.8,766.356,200,193,96.5,0.006,0.0005,2137.887,17.815725,3.558,0.006,6.956
CLOUDSUITE_WEBSEARCH,1511734949239929119,search.10C,1511734949158,2,0,True,0.942,47.1,8.7956230492e+09,25.1303515691,8.7727938e+06,35.0911752,1.690859778e+09,28.1809963,47.997,47.997,6398,42.6533333333,147.52,0.461,0,0,1.85257899e+08,5.61387572727,5334.406,0.001667001875,31.476,31.476,4.608284066e+08,0.512031562889,6405,35.5833333333,5.73889598672e+10,22.9555839469,0,60,0.001,3.953,2.5,1,107.142,30.4,131.137,200,581.59,290.795,0.007,0.000583333333333,2178.168,18.1514,5.488,0.007,3.953
CLOUDSUITE_WEBSEARCH,1511734954920843276,search.10C,1511734954158,6,0,True,0.535,26.75,9.372323274e+09,26.7780664971,5.6663272e+06,22.6653088,1.9392211218e+09,32.32035203,59.581,59.581,6501,43.34,57.44,0.1795,0,0,3.211360464e+08,9.73139534545,5349.129,0.0016716028125,20.505,20.505,3.121540058e+08,0.346837784222,6501,36.1166666667,7.09144110558e+10,28.3657644223,0,65,0.001,4.435,2.5,1,807.13,29.994,811.931,200,568.69,284.345,42.56,3.54666666667,2189.504,18.2458666667,3.63,42.56,4.435
CLOUDSUITE_WEBSEARCH,1511734959214334202,search.10C,1511734959158,6,0,True,0.526,26.3,8.6247235858e+09,24.642067388,8.1968822e+06,32.7875288,1.8529311454e+09,30.8821857567,60.117,60.117,7463,49.7533333333,114.881,0.359003125,0,0,3.380597708e+08,10.2442354788,5370.973,0.0016784290625,27.83,27.83,3.294686826e+08,0.366076314,7463,41.4611111111,5.65393868476e+10,22.615754739,0,70,0.001,2.885,2.5,1,82.378,28.006,105.161,200,577.43,96.2383333333,72.158,6.01316666667,2215.715,18.4642916667,6.51,72.158,2.885
CLOUDSUITE_WEBSEARCH,1511734964208307856,search.10C,1511734964159,6,0,True,0.502,25.1,8.569230375e+09,24.4835153571,6.6202422e+06,26.4809688,1.8504688534e+09,30.8411475567,60.57,60.57,7588,50.5866666667,79.04,0.247,0,0,3.156608776e+08,9.56548113939,5381.461,0.0016817065625,23.984,23.984,2.107709832e+08,0.234189981333,7590,42.1666666667,6.52110487676e+10,26.084419507,0,75,0.001,2.851,2.5,1,91.284,29.194,98.239,200,595.59,99.265,0.006,0.0005,2226.059,18.5504916667,4.188,0.006,2.851
CLOUDSUITE_WEBSEARCH,1511734969856409087,search.10C,1511734969158,6,0,True,0.515,25.75,8.9071994628e+09,25.4491413223,6.3800778e+06,25.5203112,1.8718143944e+09,31.1969065733,59.896,59.896,7591,50.6066666667,54.4,0.17,0,0,3.295074678e+08,9.98507478182,5396.043,0.0016862634375,23.423,23.423,1.593122522e+08,0.177013613556,7590,42.1666666667,6.11311884326e+10,24.452475373,0,80,0.001,2.727,2.5,1,743.453,30.206,747.918,200,600.52,100.086666667,69.128,5.76066666667,2243.336,18.6944666667,6.534,69.128,2.727
CLOUDSUITE_WEBSEARCH,1511734974218789627,search.10C,1511734974158,6,0,True,0.609,30.45,9.369468349e+09,26.7699095686,6.839401e+06,27.357604,2.0020515116e+09,33.3675251933,61.452,61.452,8231,54.8733333333,96.8,0.3025,0,0,3.204760806e+08,9.71139638182,5419.703,0.0016936571875,26.443,26.443,2.08330254e+08,0.23147806,8228,45.7111111111,6.51041816652e+10,26.0416726661,0,85,0.001,3.097,2.5,1,105.48,26.2,110.615,200,591.38,98.5633333333,0.004,0.000333333333333,2264.238,18.86865,4.004,0.004,3.097
CLOUDSUITE_WEBSEARCH,1511734979206955011,search.10C,1511734979160,6,0,True,0.426,21.3,7.3813892962e+09,21.0896837034,5.9029498e+06,23.6117992,1.6526667334e+09,27.5444455567,58.965,58.965,7647,50.98,74.72,0.2335,0,0,3.385209766e+08,10.2582114121,5504.383,0.0017201196875,23.308,23.308,5.57997491e+08,0.619997212222,7648,42.4888888889,7.63503503248e+10,30.5401401299,0,90,0.001,2.91,2.5,1,89.115,29.2,95.102,104,597.94,99.6566666667,57.607,4.80058333333,2353.039,19.6086583333,6.028,57.607,2.91
CLOUDSUITE_WEBSEARCH,1511734984960053465,search.10C,1511734984158,6,0,True,0.502,25.1,8.22328061e+09,23.4950874571,6.2442404e+06,24.9769616,1.7599416636e+09,29.33236106,60.512,60.512,7721,51.4733333333,78.879,0.246496875,0,0,3.16212698e+08,9.5822029697,5505.969,0.0017206153125,24.905,24.905,2.536908896e+08,0.281878766222,7722,42.9,7.26381779364e+10,29.0552711746,0,95,0.001,2.595,2.5,1,846.224,34.993,851.1,104,603.44,100.573333333,0.006,0.0005,2355.184,19.6265333333,4.816,0.006,2.595
CLOUDSUITE_WEBSEARCH,1511734989191641877,search.10C,1511734989158,6,0,True,0.551,27.55,9.5204128664e+09,27.2011796183,8.198885e+06,32.79554,2.0356921764e+09,33.92820294,62.376,62.376,9502,63.3466666667,135.52,0.4235,0,0,3.08965398e+08,9.36258781818,5518.617,0.0017245678125,35.26,35.26,2.94657021e+08,0.32739669,9503,52.7944444444,5.81322736698e+10,23.2529094679,0,100,0.001,1.89,2.5,1,78.917,42.809,83.871,104,603.34,100.556666667,0.012,0.001,2370.328,19.7527333333,8.356,0.012,1.89
