name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH,1511461614177640804,search.9I,1511461613310,2,0,True,0.876,43.8,7.0261863804e+09,20.0748182297,5.375154933e+06,21.500619732,1.37969057647e+09,22.9948429411,27.044,27.044,4911,32.74,29.226,0.09133125,0,0,1.51268602067e+08,4.58389703233,4918.52,0.0015370375,17.852,17.852,1.58266574467e+08,0.175851749408,4911,27.2833333333,6.59546717538e+10,26.3818687015,0,55,0.001,8.688,0.003,1,845.293,24.405,853.945,200,188.48,94.24,4.214,0.351166666667,1758.598,14.6549833333,3.562,4.214,8.688
CLOUDSUITE_WEBSEARCH,1511461618557615855,search.9I,1511461618310,2,0,True,0.829,41.45,7.71664079313e+09,22.0475451232,6.462498467e+06,25.849993868,1.53071871167e+09,25.5119785278,29.031,29.031,5734,38.2266666667,39.68,0.124,0,0,1.75427499333e+08,5.31598482827,5095.741,0.0015924190625,20.372,20.372,1.52771384267e+08,0.169745982519,5733,31.85,6.54650472901e+10,26.186018916,0,60,0.001,5.454,2.5,1,232.145,45.791,236.894,200,256.923,128.4615,4.214,0.351166666667,1946.414,16.2201166667,4.286,4.214,5.454
CLOUDSUITE_WEBSEARCH,1511461624047801573,search.9I,1511461623310,4,0,True,0.831,41.55,8.1258817072e+09,23.2168048777,7.0249844e+06,28.0999376,1.6307131305e+09,27.178552175,35.127,35.127,6040,40.2666666667,30.507,0.095334375,0,0,1.803865699e+08,5.46625969394,5253.992,0.0016418725,28.642,28.642,1.056657708e+08,0.117406412,6039,33.55,6.50613565897e+10,26.0245426359,0,65,0.001,1.289,2.5,1,721.974,51.61,727.705,200,333,166.5,1.867,0.155583333333,2105.197,17.5433083333,4.5,1.867,1.289
CLOUDSUITE_WEBSEARCH,1511461628438211143,search.9I,1511461628310,4,0,True,0.844,42.2,1.06469936136e+10,30.4199817531,9.0805805e+06,36.322322,2.1377464981e+09,35.6291083017,41.011,41.011,8038,53.5866666667,45.92,0.1435,0,0,2.504075925e+08,7.58810886364,5359.016,0.0016746925,36.422,36.422,1.553667871e+08,0.172629763444,8039,44.6611111111,5.3256322294e+10,21.3025289176,0,70,0.001,0.757,1.625,1,113.619,48.59,118.002,200,398.187,99.54675,1.867,0.155583333333,2212.583,18.4381916667,7.208,1.867,0.757
CLOUDSUITE_WEBSEARCH,1511461633528731871,search.9I,1511461633312,4,0,True,0.925,46.25,1.21191588328e+10,34.6261680937,9.5092836e+06,38.0371344,2.3873414292e+09,39.78902382,44.912,44.912,9287,61.9133333333,32.853,0.102665625,0,0,2.550856556e+08,7.72986835152,5413.111,0.0016915971875,40.988,40.988,1.728749136e+08,0.192083237333,9288,51.6,3.49913220787e+10,13.9965288315,0,75,0.001,0.624,1.55,1,199.427,47.6,203.915,200,397.837,99.45925,1.867,0.155583333333,2261.418,18.84515,8.48,1.867,0.624
CLOUDSUITE_WEBSEARCH,1511461639125700250,search.9I,1511461638310,6,0,True,0.934,46.7,1.22872638015e+10,35.1064680043,9.1226772e+06,36.4907088,2.3632570173e+09,39.387616955,44.272,44.272,9152,61.0133333333,46.826,0.14633125,0,0,2.532214892e+08,7.67337846061,5458.923,0.0017059134375,41.275,41.275,2.341340361e+08,0.260148929,9152,50.8444444444,2.99659214249e+10,11.98636857,0,80,0.001,0.912,2.25,1,798.997,53,805.118,200,392.607,98.15175,0.001,8.33333333333e-05,2307.529,19.2294083333,10.608,0.001,0.912
CLOUDSUITE_WEBSEARCH,1511461643440368441,search.9I,1511461643310,6,0,True,0.949,47.45,1.23989126369e+10,35.4254646768,8.943559133e+06,35.774236532,2.37359547213e+09,39.5599245355,44.715,44.715,9050,60.3333333333,50.934,0.15916875,0,0,2.522239576e+08,7.6431502303,5503.859,0.0017199559375,44.912,44.912,2.132129774e+08,0.236903308222,9049,50.2722222222,3.23379090129e+10,12.9351636051,0,85,0.001,0.27,0.875,1,113.412,62.613,119.899,200,426.373,71.0621666667,0.001,8.33333333333e-05,2352.618,19.60515,9.838,0.001,0.27
CLOUDSUITE_WEBSEARCH,1511461648567923387,search.9I,1511461648311,6,0,True,0.994,49.7,1.23747600865e+10,35.3564573901,9.5590374e+06,38.2361496,2.35547156373e+09,39.2578593955,41.326,41.326,9015,60.1,57.974,0.18116875,0,0,2.36565142867e+08,7.16864069294,5532.979,0.0017290559375,44.715,44.715,2.250308424e+08,0.250034269333,9018,50.1,2.53285916786e+10,10.1314366714,0,90,0.001,0.061,0.133,1,205.855,51.39,210.198,104,395.333,65.8888333333,0.001,8.33333333333e-05,2387.22,19.8935,11.574,0.001,0.061
CLOUDSUITE_WEBSEARCH,1511461654162150399,search.9I,1511461653310,7,0,True,1.067,53.35,1.22063119075e+10,34.8751768785,8.725344e+06,34.901376,2.26573727367e+09,37.7622878944,38.252,38.252,8896,59.3066666667,43.682,0.13650625,0,0,2.10279519467e+08,6.37210665052,5535.314,0.001729785625,44.808,44.808,1.59239601067e+08,0.176932890074,8899,49.4388888889,1.4771686021e+10,5.9086744084,0,95,0.001,0.057,0.125,1,834.91,51.01,840.836,104,354.123,59.0205,0.001,8.33333333333e-05,2390.329,19.9194083333,10.328,0.001,0.057
CLOUDSUITE_WEBSEARCH,1511461658436884840,search.9I,1511461658310,7,0,True,1.131,56.55,1.18568571867e+10,33.876734819,7.889262267e+06,31.557049068,2.1553855994e+09,35.9230933233,35.038,35.038,9151,61.0066666667,32.96,0.103,0,0,1.78225391267e+08,5.40076943233,5534.453,0.0017295165625,42.823,42.823,1.47510536333e+08,0.163900595926,9155,50.8611111111,2.73729846573e+09,1.09491938629,0,100,0.001,0.064,0.163,1,112.604,55,116.723,104,283.087,40.441,0.001,8.33333333333e-05,2390.452,19.9204333333,12.022,0.001,0.064
