name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511461624055923033,search.9I,1511461623310,4,0,True,0.831,41.55,8.1258817072e+09,23.2168048777,7.0249844e+06,28.0999376,1.6307131305e+09,27.178552175,35.127,35.127,6040,40.2666666667,30.507,0.095334375,0,0,1.803865699e+08,5.46625969394,5253.992,0.0016418725,28.642,28.642,1.056657708e+08,0.117406412,6039,33.55,6.50613565897e+10,26.0245426359,0,65,0.001,5.144,2.5,1,721.974,121.806,727.705,200,259.468,166.5,1.867,0.155583333333,2105.197,17.5433083333,4.116,1.867,5.144
CLOUDSUITE_WEBSEARCH_AGG,1511461639133011346,search.9I,1511461638310,6,0,True,0.934,46.7,1.22872638015e+10,35.1064680043,9.1226772e+06,36.4907088,2.3632570173e+09,39.387616955,44.272,44.272,9152,61.0133333333,46.826,0.14633125,0,0,2.532214892e+08,7.67337846061,5458.923,0.0017059134375,41.275,41.275,2.341340361e+08,0.260148929,9152,50.8444444444,2.99659214249e+10,11.98636857,0,80,0.001,0.764,2.25,1,798.997,149.19,805.118,200,396.21,98.15175,0.001,8.33333333333e-05,2307.529,19.2294083333,8.765,0.001,0.764
CLOUDSUITE_WEBSEARCH_AGG,1511461654171440604,search.9I,1511461653310,7,0,True,1.067,53.35,1.22063119075e+10,34.8751768785,8.725344e+06,34.901376,2.26573727367e+09,37.7622878944,38.252,38.252,8896,59.3066666667,43.682,0.13650625,0,0,2.10279519467e+08,6.37210665052,5535.314,0.001729785625,44.808,44.808,1.59239601067e+08,0.176932890074,8899,49.4388888889,1.4771686021e+10,5.9086744084,0,95,0.001,0.129,0.125,1,834.91,165.013,840.836,104,391.943,59.0205,0.001,8.33333333333e-05,2390.329,19.9194083333,10.58,0.001,0.129
CLOUDSUITE_WEBSEARCH_AGG,1511461669191081002,search.9I,1511461668311,6,0,True,1.13,56.5,1.08688631142e+10,31.053894612,6.3049196e+06,25.2196784,1.93225615133e+09,32.2042691889,33.022,33.022,9515,63.4333333333,44.694,0.13966875,0,0,1.56756747e+08,4.75020445455,5541.257,0.0017316428125,42.431,42.431,9.83626242e+07,0.109291804667,9522,52.9,1.28663136653e+09,0.514652546613,0,110,0.001,0.056,0.133,1,855.112,152.39,860.271,104,240.897,29.9871428571,0.001,8.33333333333e-05,2396.091,19.967425,11.453,0.001,0.056
CLOUDSUITE_WEBSEARCH_AGG,1511461684058962042,search.9I,1511461683310,5,0,True,1.129,56.45,1.05096294607e+10,30.027512745,6.2202782e+06,24.8811128,1.862384423e+09,31.0397403833,32.828,32.828,9215,61.4333333333,42.88,0.134,0,0,1.492538988e+08,4.52284541818,5543.859,0.0017324559375,43.672,43.672,8.7819247667e+07,0.0975769418522,9215,51.1944444444,1.59546986733e+09,0.638187946933,0,125,0.001,0.058,0.128,1,726.182,154.211,730.551,104,217.802,41.7395,0.001,8.33333333333e-05,2400.286,20.0023833333,10.915,0.001,0.058
CLOUDSUITE_WEBSEARCH_AGG,1511461699077660983,search.9I,1511461698309,4,0,True,1.11,55.5,1.01267434624e+10,28.9335527497,5.8543946e+06,23.4175784,1.79090850173e+09,29.8484750289,32.506,32.506,9031,60.2066666667,54.88,0.1715,0,0,1.53979084733e+08,4.6660328707,5544.887,0.0017327771875,43.063,43.063,1.08000314867e+08,0.120000349852,9034,50.1888888889,2.01650244933e+09,0.806600979733,0,140,0.001,0.069,0.23,1,745.865,153.4,750.783,102,266.164,56.232,3.787,0.315583333333,2402.172,20.0181,11.24,3.787,0.069
CLOUDSUITE_WEBSEARCH_AGG,1511461713447505999,search.9I,1511461713309,4,0,True,1.132,56.6,1.08127949052e+10,30.8936997291,6.115314867e+06,24.461259468,1.89003309707e+09,31.5005516178,31.5,31.5,8766,58.44,32.16,0.1005,0,0,1.62061728933e+08,4.91096148282,5544.974,0.001732804375,42.37,42.37,8.6715349733e+07,0.0963503885922,8766,48.7,2.90674717147e+09,1.16269886859,0,155,0.001,0.078,0.193,1,114.352,150.2,120.045,102,269.258,60.07425,0.001,8.33333333333e-05,2405.047,20.0420583333,10.909,0.001,0.078
CLOUDSUITE_WEBSEARCH_AGG,1511461728556680227,search.9I,1511461728317,4,0,True,1.138,56.9,1.08271721418e+10,30.934777548,5.766756e+06,23.067024,1.87800797547e+09,31.3001329245,31.467,31.467,8659,57.7266666667,35.52,0.111,0,0,1.568527784e+08,4.75311449697,5542.829,0.0017321340625,40.784,40.784,3.65718064e+07,0.0406353404444,8658,48.1,3.14190459347e+09,1.25676183739,0,170,0.001,0.09,0.21,1,212.203,150.95,216.585,103,230.669,55.91075,2.987,0.248916666667,2404.668,20.0389,10.921,2.987,0.09
CLOUDSUITE_WEBSEARCH_AGG,1511461743539969469,search.9I,1511461743309,4,0,True,1.04,52,1.23532972663e+10,35.2951350465,6.9027532e+06,27.6110128,2.43752393273e+09,40.6253988789,41.254,41.254,10640,70.9333333333,40.16,0.1255,0,0,2.851380362e+08,8.64054655152,6281.794,0.001963060625,44.674,44.674,8.3669931333e+07,0.09296659037,10644,59.1333333333,4.99973922927e+09,1.99989569171,0,185,0.001,0.075,0.16,2,208.201,164.455,213.254,103,236.904,62.75175,7.681,0.640083333333,2411.84,20.0986666667,10.969,7.681,0.075
CLOUDSUITE_WEBSEARCH_AGG,1511461759255438941,search.9I,1511461758309,3,0,True,0.994,49.7,1.29533656667e+10,37.0096161905,6.082488467e+06,24.329953868,2.4646897736e+09,41.0781628933,44.084,44.084,11271,75.14,36.587,0.114334375,0,0,3.74029251733e+08,11.3342197495,7721.182,0.002412869375,44.421,44.421,4.88515614e+07,0.0542795126667,11269,62.6055555556,4.101054379e+09,1.6404217516,0,200,0.001,0.062,0.145,2,923.961,159.8,928.767,103,234.469,59.23075,0.001,8.33333333333e-05,2413.275,20.110625,11.975,0.001,0.062
