name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511372383872713267,search.9F,1511372382916,4,0,True,0.966,48.3,9.1255615986e+09,26.0730331389,7.9620186e+06,31.8480744,1.6824859574e+09,28.0414326233,35.148,35.148,5355,35.7,75.573,0.236165625,0,0,1.80009071133e+08,5.45482033736,5265.37,0.001645428125,33.595,33.595,9.35469904e+07,0.103941100444,5361,29.7833333333,7.94877754495e+10,31.7951101798,0,65,0.001,4.758,2.45,1,819.893,128.99,825.372,200,238.636,161.6485,5.229,0.43575,2176.684,18.1390333333,5.123,5.229,4.758
CLOUDSUITE_WEBSEARCH_AGG,1511372398871570241,search.9F,1511372397917,6,0,True,0.886,44.3,1.13612454953e+10,32.460701415,1.0075564733e+07,40.302258932,2.22173108107e+09,37.0288513511,43.824,43.824,7826,52.1733333333,68.693,0.214665625,0,0,2.46670782333e+08,7.47487219191,5420.281,0.0016938378125,38.462,38.462,2.437574078e+08,0.270841564222,7826,43.4777777778,3.71229268411e+10,14.8491707365,0,80,0.001,0.898,1.875,1,928.998,140.59,934.64,200,399.685,99.38675,0.003,0.00025,2348.922,19.57435,8.677,0.003,0.898
CLOUDSUITE_WEBSEARCH_AGG,1511372413898972227,search.9F,1511372412916,8,0,True,0.761,38.05,1.2016462771e+10,34.3327507743,1.02327352e+07,40.9309408,2.31294912627e+09,38.5491521045,55.345,55.345,9086,60.5733333333,54.561,0.170503125,0,0,3.03011694867e+08,9.18217257173,5500.426,0.001718883125,41.511,41.511,3.51631534867e+08,0.390701705408,9080,50.4444444444,3.65353717662e+10,14.6141487065,0,95,0.001,0.78,0.193,1,956.852,155.435,964.756,104,510.501,89.5645,0.002,0.000166666666667,2435.033,20.2919416667,8.903,0.002,0.78
CLOUDSUITE_WEBSEARCH_AGG,1511372428893632042,search.9F,1511372427915,6,0,True,1.173,58.65,1.11300509925e+10,31.800145693,7.0238996e+06,28.0955984,1.89567393173e+09,31.5945655289,33.083,33.083,9232,61.5466666667,73.866,0.23083125,0,0,1.69668239e+08,5.14146178788,5517.854,0.001724329375,42.673,42.673,1.056729508e+08,0.117414389778,9232,51.2888888889,1.1532509564e+09,0.46130038256,0,110,0.001,0.053,0.12,1,953.399,149.8,957.848,104,339.379,34.148375,0.003,0.00025,2454.663,20.455525,11.267,0.003,0.053
CLOUDSUITE_WEBSEARCH_AGG,1511372443946465749,search.9F,1511372442916,4,0,True,1.104,55.2,1.09385171408e+10,31.2529061166,5.9286884e+06,23.7147536,1.8321671732e+09,30.5361195533,33.837,33.837,8810,58.7333333333,76.587,0.239334375,0,0,1.690381512e+08,5.12236821818,5520.376,0.0017251175,42.974,42.974,1.18782453933e+08,0.13198050437,8813,48.9611111111,1.46386676227e+09,0.585546704907,0,125,0.001,0.059,0.155,1,1006.874,147.59,1011.517,104,272.34,46.8566666667,0.002,0.000166666666667,2459.853,20.498775,10.654,0.002,0.059
CLOUDSUITE_WEBSEARCH_AGG,1511372458788499076,search.9F,1511372457916,3,0,True,1.117,55.85,9.5360485064e+09,27.2458528754,5.8854454e+06,23.5417816,1.61852504353e+09,26.9754173922,29.895,29.895,9037,60.2466666667,59.733,0.186665625,0,0,1.537225666e+08,4.65825959394,5519.763,0.0017249259375,39.282,39.282,8.9800695667e+07,0.0997785507411,9039,50.2166666667,1.67346158133e+09,0.669384632533,0,140,0.001,0.063,0.17,1,850.114,147.01,855.53,102,246.682,54.93675,0.002,0.000166666666667,2462.309,20.5192416667,10.872,0.002,0.063
CLOUDSUITE_WEBSEARCH_AGG,1511372473303044545,search.9F,1511372472915,3,0,True,1.091,54.55,1.0395810909e+10,29.7023168829,5.826792533e+06,23.307170132,1.73976965787e+09,28.9961609645,31.432,31.432,8750,58.3333333333,82.294,0.25716875,0,0,1.590781716e+08,4.82055065455,5519.732,0.00172491625,40.92,40.92,7.8821491867e+07,0.0875794354078,8751,48.6166666667,3.99863637807e+09,1.59945455123,0,155,0.001,0.109,0.245,1,246.569,142.202,369.724,102,246.603,84.0943333333,3.413,0.284416666667,2467.279,20.5606583333,10.067,3.413,0.109
CLOUDSUITE_WEBSEARCH_AGG,1511372489018743906,search.9F,1511372487921,4,0,True,1.106,55.3,1.10593370144e+10,31.5981057554,5.9747042e+06,23.8988168,1.83499511193e+09,30.5832518656,33.044,33.044,8958,59.72,45.973,0.143665625,0,0,1.61531977267e+08,4.89490840203,5523.632,0.001726135,42.382,42.382,9.8287933667e+07,0.109208815186,8957,49.7611111111,7.57822351293e+09,3.03128940517,0,170,0.001,0.179,0.75,2,1072.812,154.749,1078.679,103,256.752,85.4776666667,0.003,0.00025,2468.866,20.5738833333,11.025,0.003,0.179
CLOUDSUITE_WEBSEARCH_AGG,1511372503298381193,search.9F,1511372502915,4,0,True,1.012,50.6,1.32852147501e+10,37.957756429,7.126983467e+06,28.507933868,2.82919305467e+09,47.1532175778,47.641,47.641,12144,80.96,92.48,0.289,0,0,3.48122818e+08,10.549176303,6919.359,0.0021622996875,44.416,44.416,1.91834018467e+08,0.213148909408,12144,67.4666666667,7.03005341713e+09,2.81202136685,0,185,0.001,0.084,0.208,2,359.731,157.252,365.033,103,288.247,74.69,11.307,0.94225,2474.151,20.617925,10.991,11.307,0.084
CLOUDSUITE_WEBSEARCH_AGG,1511372518330732895,search.9F,1511372517915,4,0,True,0.994,49.7,1.27975568901e+10,36.5644482575,8.1126654e+06,32.4506616,2.19158661973e+09,36.5264436622,45.214,45.214,8905,59.3666666667,32.16,0.1005,0,0,3.74732996333e+08,11.3555453434,8004.523,0.0025014134375,43.504,43.504,8.8101399733e+07,0.0978904441478,8904,49.4666666667,3.90771147507e+09,1.56308459003,0,200,0.001,0.084,0.243,2,391.113,163,396.853,103,265.401,69.4475,12.905,1.07541666667,2476.568,20.6380666667,11.698,12.905,0.084
CLOUDSUITE_WEBSEARCH_AGG,1511372533992729741,search.9F,1511372532915,3,0,True,1.041,52.05,1.39133330199e+10,39.7523800568,8.618597467e+06,34.474389868,2.3546294256e+09,39.24382376,45.874,45.874,9141,60.94,63.947,0.199834375,0,0,3.61323620067e+08,10.9492006081,8263.383,0.0025823071875,47.313,47.313,7.7598760333e+07,0.0862208448144,9142,50.7888888889,3.5816067236e+09,1.43264268944,0,215,0.001,0.077,0.168,2,1051.331,170.794,1057.324,105,304.299,71.32075,37.44,3.12,2478.706,20.6558833333,11.909,37.44,0.077
CLOUDSUITE_WEBSEARCH_AGG,1511372549019132169,search.9F,1511372547915,4,0,True,0.983,49.15,1.21942603111e+10,34.840743746,8.387276e+06,33.549104,2.0817348228e+09,34.69558038,42.657,42.657,9322,62.1466666667,71.68,0.224,0,0,3.296351797e+08,9.98894483939,8285.167,0.0025891146875,39.978,39.978,1.222582809e+08,0.135842534333,9322,51.7888888889,5.0593647881e+09,2.02374591524,0,230,0.001,0.125,0.285,2,1080.177,141.8,1085.376,105,247.27,83.3666666667,0.003,0.00025,2504.721,20.872675,11.303,0.003,0.125
CLOUDSUITE_WEBSEARCH_AGG,1511372563963163188,search.9F,1511372562915,3,0,True,0.998,49.9,1.22721988144e+10,35.063425184,8.002157133e+06,32.008628532,2.09819264533e+09,34.9698774222,42.731,42.731,9055,60.3666666667,56.32,0.176,0,0,3.33471962067e+08,10.1052109717,8294.454,0.002592016875,40.004,40.004,1.002997946e+08,0.111444216222,9071,50.3944444444,3.57137547687e+09,1.42855019075,0,245,0.001,0.073,0.168,2,1026.313,140.4,1031.062,105,245.048,58.40325,0.002,0.000166666666667,2517.805,20.9817083333,10.148,0.002,0.073
CLOUDSUITE_WEBSEARCH_AGG,1511372578908647725,search.9F,1511372577915,4,0,True,0.966,48.3,1.18390137073e+10,33.8257534495,8.342593533e+06,33.370374132,2.0642955364e+09,34.4049256067,41.488,41.488,8870,59.1333333333,65.867,0.205834375,0,0,3.343037472e+08,10.1304165818,8299.719,0.0025936621875,38.355,38.355,1.34453387933e+08,0.149392653259,8868,49.2666666667,5.28128459913e+09,2.11251383965,0,260,0.001,0.123,0.168,2,969.112,134.61,974.84,97,245.519,82.3043333333,0.002,0.000166666666667,2525.63,21.0469166667,10.211,0.002,0.123
