name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH,1511477587609603357,search.9K,1511477586795,2,0,True,0.969,48.45,7.94160037333e+09,22.690286781,6.093211133e+06,24.372844532,1.407233089e+09,23.4538848167,26.714,26.714,5240,34.9333333333,35.307,0.110334375,0,0,1.64789616933e+08,4.99362475555,4907.022,0.001533444375,24.814,24.814,1.50915618667e+08,0.167684020741,5241,29.1166666667,6.33472837045e+10,25.3389134818,0,55,0.001,5.357,2.5,1,797.922,28.606,803.953,200,185.553,92.7765,0.001,8.33333333333e-05,1819.831,15.1652583333,4.7,0.001,5.357
CLOUDSUITE_WEBSEARCH,1511477592020763401,search.9K,1511477591795,2,0,True,1.016,50.8,9.12031504653e+09,26.0580429901,6.782412467e+06,27.129649868,1.60917673033e+09,26.8196121722,27.164,27.164,5973,39.82,36.373,0.113665625,0,0,1.74226620867e+08,5.27959457173,5094.013,0.0015918790625,24.019,24.019,3.612960406e+08,0.401440045111,5974,33.1888888889,6.8310009321e+10,27.3240037284,0,60,0.001,3.221,2.5,1,210.776,63.2,215.171,200,193.027,96.5135,14.031,1.16925,2017.633,16.8136083333,5.386,14.031,3.221
CLOUDSUITE_WEBSEARCH,1511477597748739569,search.9K,1511477596795,4,0,True,1.079,53.95,1.13302369454e+10,32.3721055583,8.646752133e+06,34.587008532,2.01154497953e+09,33.5257496589,32.614,32.614,7276,48.5066666667,42.667,0.133334375,0,0,1.968708652e+08,5.96578379394,5224.335,0.0016326046875,32.941,32.941,3.19870384533e+08,0.35541153837,7284,40.4666666667,5.84911878881e+10,23.3964751552,0,65,0.001,0.485,1.425,1,936.306,57.189,943.299,200,255.14,127.57,14.03,1.16916666667,2138.315,17.8192916667,5.462,14.03,0.485
CLOUDSUITE_WEBSEARCH,1511477602029798736,search.9K,1511477601795,4,0,True,1.103,55.15,1.2610962746e+10,36.0313221314,1.03213118e+07,41.2852472,2.2494418812e+09,37.49069802,37.44,37.44,8616,57.44,49.28,0.154,0,0,2.14333572067e+08,6.4949567293,5287.411,0.0016523159375,39.377,39.377,3.416814782e+08,0.379646086889,8617,47.8722222222,3.9302194246e+10,15.7208776984,0,70,0.001,0.096,0.24,1,218.794,55.811,224.395,200,309.613,77.40325,14.03,1.16916666667,2208.374,18.4031166667,8.576,14.03,0.096
CLOUDSUITE_WEBSEARCH,1511477607024796986,search.9K,1511477606795,4,0,True,1.115,55.75,1.27679131067e+10,36.4797517335,9.755136667e+06,39.020546668,2.2418128656e+09,37.36354776,40.432,40.432,9100,60.6666666667,64.64,0.202,0,0,2.090897172e+08,6.33605203636,5357.676,0.00167427375,48.086,48.086,1.03884195467e+08,0.115426883852,9097,50.5388888889,1.24611867477e+10,4.98447469909,0,75,0.001,0.063,0.153,1,213.727,53.4,218.555,200,352.343,88.08575,0.965,0.0804166666667,2272.891,18.9407583333,9.72,0.965,0.063
CLOUDSUITE_WEBSEARCH,1511477612717076525,search.9K,1511477611795,6,0,True,1.111,55.55,1.18032692545e+10,33.7236264413,8.245933133e+06,32.983732532,2.03132948853e+09,33.8554914755,37.573,37.573,9196,61.3066666667,57.12,0.1785,0,0,1.89237979733e+08,5.73448423433,5413.97,0.001691865625,45.754,45.754,7.90830414e+07,0.087870046,9182,51.0111111111,2.9043862972e+09,1.16175451888,0,80,0.001,0.078,0.173,1,906.361,55.2,911.997,200,304.893,76.22325,0.965,0.0804166666667,2336.301,19.469175,11.948,0.965,0.078
CLOUDSUITE_WEBSEARCH,1511477617032272727,search.9K,1511477616795,6,0,True,1.134,56.7,1.13893414761e+10,32.5409756459,6.676342133e+06,26.705368532,1.9100483842e+09,31.8341397367,35.481,35.481,9146,60.9733333333,49.76,0.1555,0,0,1.79158426267e+08,5.42904322021,5446.251,0.0017019534375,45.999,45.999,8.4119254667e+07,0.0934658385189,9137,50.7611111111,2.17019025167e+09,0.868076100667,0,85,0.001,0.053,0.128,1,222.841,49.2,227.227,200,288.803,48.1338333333,0.965,0.0804166666667,2366.876,19.7239666667,11.022,0.965,0.053
CLOUDSUITE_WEBSEARCH,1511477622077408932,search.9K,1511477621796,6,0,True,1.134,56.7,1.12494799771e+10,32.141371363,6.622336e+06,26.489344,1.89424169013e+09,31.5706948355,33.514,33.514,9138,60.92,44.854,0.14016875,0,0,1.78116076867e+08,5.39745687476,5451.327,0.0017035396875,44.167,44.167,9.1776075333e+07,0.101973417037,9128,50.7111111111,1.93789826693e+09,0.775159306773,0,90,0.001,0.052,0.12,1,265.073,56.389,271.119,104,245.053,40.8421666667,0.002,0.000166666666667,2378.25,19.81875,12.188,0.002,0.052
CLOUDSUITE_WEBSEARCH,1511477627745748109,search.9K,1511477626794,5,0,True,1.117,55.85,1.06501177036e+10,30.4289077246,6.608466333e+06,26.433865332,1.80726455233e+09,30.1210758722,34.449,34.449,8912,59.4133333333,46.933,0.146665625,0,0,1.69205070667e+08,5.12742638385,5454.944,0.00170467,45.017,45.017,1.05076553467e+08,0.116751726074,8907,49.4833333333,1.2782235764e+09,0.51128943056,0,95,0.001,0.055,0.133,1,936.546,49.61,941.143,104,257.26,42.8766666667,7.415,0.617916666667,2382.711,19.855925,10.88,7.415,0.055
CLOUDSUITE_WEBSEARCH,1511477632016297298,search.9K,1511477631795,5,0,True,1.12,56,1.09547897941e+10,31.2993994116,6.431531267e+06,25.726125068,1.83979140133e+09,30.6631900222,33.585,33.585,8701,58.0066666667,54.08,0.169,0,0,1.65341216133e+08,5.01033988282,5459.152,0.001705985,43.413,43.413,1.12831706733e+08,0.125368563037,8690,48.2777777778,1.25820441927e+09,0.503281767707,0,100,0.001,0.062,0.145,1,206.604,50,211.124,104,249.76,49.952,22.133,1.84441666667,2389.164,19.9097,11.942,22.133,0.062
