name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511662748661961893,search.9W,1511662747676,4,0,True,1.129,56.45,1.4866654475e+10,42.4761556429,2.05185406e+07,82.0741624,2.6544253842e+09,44.24042307,36.975,36.975,8928,59.52,102.401,0.320003125,0,0,2.513994846e+08,7.6181662,5330.465,0.0016657703125,47.741,47.741,2.826255496e+08,0.314028388444,8930,49.6111111111,1.48480197688e+10,5.93920790752,0,65,0.001,1.708,0.123,1,994.633,200,999.578,200,384.54,193.655,0.008,0.000666666666667,2252.145,18.767875,14.29,0.008,3.09
CLOUDSUITE_WEBSEARCH_AGG,1511662763714598072,search.9W,1511662762674,6,0,True,1.115,55.75,1.18793994226e+10,33.9411412074,1.4834031e+07,59.336124,1.9879535336e+09,33.1325588933,39.219,39.219,9530,63.5333333333,92,0.2875,0,0,1.805805026e+08,5.47213644242,5441.277,0.0017003990625,51.317,51.317,1.899600506e+08,0.211066722889,9537,52.9833333333,3.899470069e+09,1.5597880276,0,80,0.001,0.205,0.255,1,1049.69,200,1054.09,200,358.97,84.282,0.006,0.0005,2367.23,19.7269166667,10.332,0.006,0.086
CLOUDSUITE_WEBSEARCH_AGG,1511662778809497593,search.9W,1511662777675,5,0,True,1.082,54.1,1.07988796588e+10,30.8539418823,1.5193069e+07,60.772276,1.8133486154e+09,30.2224769233,32.453,32.453,8346,55.64,105.601,0.330003125,0,0,1.796526938e+08,5.44402102424,5488.801,0.0017152503125,39.362,39.362,8.60084438e+07,0.0955649375556,8329,46.2722222222,1.5257113662e+09,0.61028454648,0,95,0.001,0.145,0.138,1,1144.735,136,1148.876,104,263.51,47.988,55.044,4.587,2419.332,20.1611,12.512,55.044,0.063
CLOUDSUITE_WEBSEARCH_AGG,1511662792991953710,search.9W,1511662792674,5,0,True,1.102,55.1,1.0635326336e+10,30.3866466743,1.52773118e+07,61.1092472,1.7893453128e+09,29.82242188,33.613,33.613,9106,60.7066666667,56.8,0.1775,0,0,1.33910673e+08,4.05789918182,5489.27,0.001715396875,42.054,42.054,8.44588284e+07,0.0938431426667,9102,50.5666666667,1.6507720746e+09,0.66030882984,0,110,0.001,0.15,0.16,1,329.009,104,333.131,104,226.51,51.459,0.003,0.00025,2423.012,20.1917666667,9.28,0.003,0.064
CLOUDSUITE_WEBSEARCH_AGG,1511662807990236625,search.9W,1511662807674,5,0,True,1.125,56.25,1.08155388034e+10,30.9015394383,1.4659564e+07,58.638256,1.7733396848e+09,29.5556614133,33.748,33.748,8979,59.86,97.92,0.306,0,0,1.386290782e+08,4.20088115758,5490.715,0.0017158484375,42.691,42.691,9.65412516e+07,0.107268057333,8980,49.8888888889,1.6498887624e+09,0.65995550496,0,125,0.001,0.144,0.173,1,325.376,104,329.779,104,337.01,54.879,0.007,0.000583333333333,2431.789,20.2649083333,13.88,0.007,0.061
CLOUDSUITE_WEBSEARCH_AGG,1511662822988427602,search.9W,1511662822674,5,0,True,1.087,54.35,1.0930582141e+10,31.2302346886,1.42148014e+07,56.8592056,1.8300515776e+09,30.5008596267,34.705,34.705,8505,56.7,46.08,0.144,0,0,1.645217866e+08,4.98550868485,5490.102,0.001715656875,42.271,42.271,6.12243928e+07,0.0680271031111,8505,47.25,1.986917526e+09,0.7947670104,0,140,0.001,0.165,0.183,1,324.177,102,329.433,102,278.58,55.788,0.003,0.00025,2435.809,20.2984083333,9.084,0.003,0.068
CLOUDSUITE_WEBSEARCH_AGG,1511662838638332404,search.9W,1511662837673,4,0,True,1.109,55.45,1.13737373974e+10,32.496392564,1.46739672e+07,58.6958688,1.876418002e+09,31.2736333667,34.662,34.662,8829,58.86,103.2,0.3225,0,0,1.592793588e+08,4.82664723636,5491.152,0.001715985,43.488,43.488,7.72498982e+07,0.0858332202222,8827,49.0388888889,2.3354586404e+09,0.93418345616,0,155,0.001,0.169,0.168,1,973.709,102,979.458,102,161.44,49.035,0.005,0.000416666666667,2441.152,20.3429333333,13.966,0.005,0.071
CLOUDSUITE_WEBSEARCH_AGG,1511662853022171029,search.9W,1511662852680,4,0,True,1.023,51.15,1.39308935258e+10,39.8025529309,1.68076488e+07,67.2305952,2.5714368822e+09,42.85728137,47.345,47.345,11321,75.4733333333,99.04,0.3095,0,0,3.58453789e+08,10.8622360303,6423.418,0.002007318125,47.49,47.49,2.134160728e+08,0.237128969778,11321,62.8944444444,7.1615976042e+09,2.86463904168,0,170,0.001,0.267,0.263,2,352.145,102.333,357.51,103,230.73,61.428,0.005,0.000416666666667,2446.906,20.3908833333,9.708,0.005,0.108
CLOUDSUITE_WEBSEARCH_AGG,1511662868727732053,search.9W,1511662867674,5,0,True,0.994,49.7,1.3368706223e+10,38.1963034943,1.54784318e+07,61.9137272,2.5593777e+09,42.656295,45.833,45.833,10674,71.16,108.16,0.338,0,0,3.310732728e+08,10.0325234182,7771.914,0.002428723125,43.13,43.13,8.08226046e+07,0.089802894,10677,59.3166666667,5.5783810644e+09,2.23135242576,0,185,0.001,0.209,0.203,2,1053.101,103,1058.802,103,336.56,71.815,0.006,0.0005,2450.16,20.418,13.676,0.006,0.083
CLOUDSUITE_WEBSEARCH_AGG,1511662883006447257,search.9W,1511662882673,5,0,True,1.041,52.05,1.37866760994e+10,39.3905031411,1.4866796e+07,59.467184,2.2976823294e+09,38.29470549,45.162,45.162,9198,61.32,110.56,0.3455,0,0,3.277599882e+08,9.93212085455,8179.969,0.0025562403125,46.548,46.548,1.901394638e+08,0.211266070889,9198,51.1,2.0087637086e+09,0.80350548344,0,200,0.001,0.145,0.128,2,343.138,103,348.187,103,217.39,51.887,69.601,5.80008333333,2455.164,20.4597,10.096,69.601,0.064
