name,time,benchmark_id,benchtime_ms,cores,cp_count,dataprocessed,host_IPC,host_IPC_norm,host_IPS,host_IPS_norm,host_cache_misses,host_cache_misses_norm,host_cache_ref,host_cache_ref_norm,host_cpupercent,host_cpupercent_norm,host_cs,host_cs_norm,host_disk_io,host_disk_io_norm,host_kvm_exit,host_llc_bw,host_mem_bw,host_mem_bw_norm,host_memory,host_memory_norm,host_net_io,host_net_io_norm,host_sched_iowait,host_sched_iowait_norm,host_sched_switch,host_sched_switch_norm,host_sched_wait,host_sched_waiti_norm,interference_change,interval,kernel,latency,latency90,load_count,process_dur_ms,throughput,total_dur_ms,users,web_cpupercent,web_cpupercent_norm,web_disk,web_disk_norm,web_memory,web_memory_norm,web_net,web_net_norm,weighted_latency
CLOUDSUITE_WEBSEARCH_AGG,1511391716363017771,search.9H,1511391715382,4,0,True,1.098,54.9,1.25592728448e+10,35.8836366994,8.580153867e+06,34.320615468,2.20819819047e+09,36.8033031745,37.11,37.11,8331,55.54,49.92,0.156,0,0,2.015979664e+08,6.10902928485,5321.191,0.0016628721875,43.331,43.331,1.16046622733e+08,0.128940691926,8330,46.2777777778,2.40047539359e+10,9.60190157435,0,70,0.001,1.285,0.215,1,958.577,188.388,963.713,200,293.829,172.6365,0.001,8.33333333333e-05,2230.798,18.5899833333,6.956,0.001,1.285
CLOUDSUITE_WEBSEARCH_AGG,1511391730796273032,search.9H,1511391730382,4,0,True,1.103,55.15,1.13294816039e+10,32.3699474398,6.628019067e+06,26.512076268,1.94547493207e+09,32.4245822011,35.606,35.606,8851,59.0066666667,61.173,0.191165625,0,0,1.741484428e+08,5.27722553939,5430.612,0.00169706625,44,44,9.6206712933e+07,0.106896347703,8851,49.1722222222,2.89010286653e+09,1.15604114661,0,85,0.001,0.081,0.195,1,291.825,160.4,396.124,200,256.087,57.36825,0.001,8.33333333333e-05,2342.346,19.51955,11.173,0.001,0.081
CLOUDSUITE_WEBSEARCH_AGG,1511391745815968738,search.9H,1511391745382,4,0,True,1.097,54.85,1.11369757601e+10,31.8199307432,6.418751467e+06,25.675005868,1.93391213873e+09,32.2318689789,35.109,35.109,9201,61.34,54.56,0.1705,0,0,1.708767146e+08,5.17808226061,5466.69,0.001708340625,44.024,44.024,6.19204304e+07,0.0688004782222,9202,51.1222222222,2.4644863004e+09,0.98579452016,0,100,0.001,0.073,0.155,1,410.501,159.211,416.143,104,260.302,62.67925,0.002,0.000166666666667,2377.288,19.8107333333,11.903,0.002,0.073
CLOUDSUITE_WEBSEARCH_AGG,1511391760782754037,search.9H,1511391760382,4,0,True,1.092,54.6,1.11447050317e+10,31.8420143763,6.2255305e+06,24.902122,1.9065600137e+09,31.7760002283,35.918,35.918,9187,61.2466666667,45.066,0.14083125,0,0,1.790844853e+08,5.42680258485,5471.086,0.001709714375,43.566,43.566,1.111255227e+08,0.123472803,9187,51.0388888889,2.7333837876e+09,1.09335351504,0,115,0.001,0.079,0.225,1,378.5,154.391,383.114,104,262.582,73.73,0.001,8.33333333333e-05,2388.967,19.9080583333,11.157,0.001,0.079
CLOUDSUITE_WEBSEARCH_AGG,1511391775795245492,search.9H,1511391775386,4,0,True,1.138,56.9,1.10513027179e+10,31.5751506225,6.180715667e+06,24.722862668,1.90496330253e+09,31.7493883755,33.658,33.658,8839,58.9266666667,41.067,0.128334375,0,0,1.67998971933e+08,5.09087793736,5472.422,0.001710131875,41.729,41.729,4.6981238867e+07,0.0522013765189,8846,49.1444444444,2.48013201553e+09,0.992052806213,0,130,0.001,0.075,0.205,1,386.286,157.368,390.822,102,307.278,70.64175,0.001,8.33333333333e-05,2391.538,19.9294833333,11.445,0.001,0.075
CLOUDSUITE_WEBSEARCH_AGG,1511391790815690852,search.9H,1511391790381,4,0,True,1.104,55.2,1.1254696363e+10,32.1562753229,6.165605467e+06,24.662421868,1.9290133818e+09,32.15022303,34.878,34.878,8815,58.7666666667,26.4,0.0825,0,0,1.78228358733e+08,5.40085935555,5472.246,0.001710076875,42.83,42.83,4.6361054133e+07,0.05151228237,8810,48.9444444444,2.74986087453e+09,1.09994434981,0,145,0.001,0.081,0.145,1,408.564,153.638,417.172,102,263.176,66.22825,0.001,8.33333333333e-05,2394.299,19.9524916667,10.81,0.001,0.081
CLOUDSUITE_WEBSEARCH_AGG,1511391805831126166,search.9H,1511391805381,4,0,True,1.172,58.6,1.0684729381e+10,30.5277982314,5.973270133e+06,23.893080532,1.82272426993e+09,30.3787378322,32.889,32.889,8835,58.9,39.68,0.124,0,0,1.57155854867e+08,4.76229863233,5471.311,0.0017097846875,42.649,42.649,4.2312457333e+07,0.0470138414811,8837,49.0944444444,2.10640702033e+09,0.842562808133,0,160,0.001,0.07,0.2,1,427.327,158.8,431.92,102,250.885,65.11675,0.001,8.33333333333e-05,2394.988,19.9582333333,11.454,0.001,0.07
CLOUDSUITE_WEBSEARCH_AGG,1511391820784904431,search.9H,1511391820381,4,0,True,1.025,51.25,1.32897962199e+10,37.9708463427,7.877847067e+06,31.511388268,2.72863296247e+09,45.4772160411,46.642,46.642,12672,84.48,41.813,0.130665625,0,0,3.25258757267e+08,9.85632597779,6323.704,0.0019761575,45.838,45.838,8.2753240533e+07,0.0919480450367,12679,70.4388888889,6.3493815052e+09,2.53975260208,0,175,0.001,0.091,0.215,2,380.656,164.802,386.143,103,280.159,73.70575,2.134,0.177833333333,2397.134,19.9761166667,11.389,2.134,0.091
CLOUDSUITE_WEBSEARCH_AGG,1511391835843777046,search.9H,1511391835382,4,0,True,0.974,48.7,1.25235895083e+10,35.7816843095,6.0201338e+06,24.0805352,2.28433391173e+09,38.0722318622,44.31,44.31,9518,63.4533333333,52.054,0.16266875,0,0,3.85676865267e+08,11.6871777354,7605.827,0.0023768209375,41.384,41.384,5.8832899467e+07,0.0653698882967,9511,52.8388888889,4.236911015e+09,1.694764406,0,190,0.001,0.077,0.243,2,438.678,156,444.521,103,272.436,60.93825,0.001,8.33333333333e-05,2400.803,20.0066916667,11.615,0.001,0.077
CLOUDSUITE_WEBSEARCH_AGG,1511391850802968192,search.9H,1511391850381,4,0,True,0.994,49.7,1.24916465437e+10,35.6904186964,5.948068267e+06,23.792273068,2.20636022273e+09,36.7726703789,44.166,44.166,9192,61.28,29.014,0.09066875,0,0,3.53565254467e+08,10.7140986202,8247.759,0.0025774246875,44.5,44.5,4.19638696e+07,0.0466265217778,9187,51.0388888889,2.96128640567e+09,1.18451456227,0,205,0.001,0.063,0.143,2,398.945,153,404.883,103,252.192,64.805,0.001,8.33333333333e-05,2404.184,20.0348666667,11.147,0.001,0.063
CLOUDSUITE_WEBSEARCH_AGG,1511391865802704852,search.9H,1511391865381,4,0,True,0.985,49.25,1.25678633637e+10,35.9081810392,5.981011333e+06,23.924045332,2.1992485304e+09,36.6541421733,43.508,43.508,9320,62.1333333333,68.907,0.215334375,0,0,3.467896918e+08,10.5087785394,8271.522,0.002584850625,42.767,42.767,7.6421084533e+07,0.0849123161478,9321,51.7833333333,3.26894570087e+09,1.30757828035,0,220,0.001,0.084,0.215,2,393.638,158.8,402.939,105,293.888,76.205,0.002,0.000166666666667,2421.163,20.1763583333,11.737,0.002,0.084
CLOUDSUITE_WEBSEARCH_AGG,1511391880780307293,search.9H,1511391880382,4,0,True,0.987,49.35,1.24414923837e+10,35.5471210964,5.743013267e+06,22.972053068,2.1825163492e+09,36.3752724867,43.431,43.431,8898,59.32,22.934,0.07166875,0,0,3.31802538533e+08,10.0546223798,8281.663,0.0025880196875,40.026,40.026,5.3245968133e+07,0.0591621868144,8906,49.4777777778,3.120763432e+09,1.2483053728,0,235,0.001,0.064,0.155,2,375.91,147.389,380.24,105,283.62,66.8625,2.72,0.226666666667,2442.452,20.3537666667,10.311,2.72,0.064
CLOUDSUITE_WEBSEARCH_AGG,1511391895811939438,search.9H,1511391895383,4,0,True,0.986,49.3,1.22371977208e+10,34.9634220594,5.800755533e+06,23.203022132,2.13652549367e+09,35.6087582278,42.959,42.959,8930,59.5333333333,46.08,0.144,0,0,3.374870646e+08,10.2268807455,8286.243,0.0025894509375,41.645,41.645,7.9237609333e+07,0.0880417881478,8930,49.6111111111,2.74184952187e+09,1.09673980875,0,250,0.001,0.07,0.145,2,405.439,148.191,410.59,97,267.913,68.94925,0.001,8.33333333333e-05,2447.993,20.3999416667,11.297,0.001,0.07
CLOUDSUITE_WEBSEARCH_AGG,1511391910807277997,search.9H,1511391910381,4,0,True,0.988,49.4,1.1905986347e+10,34.0171038486,5.505931467e+06,22.023725868,2.1026149752e+09,35.04358292,41.265,41.265,8583,57.22,31.733,0.099165625,0,0,3.37636856933e+08,10.2314199071,8284.543,0.0025889196875,37.898,37.898,3.9501670267e+07,0.0438907447411,8589,47.7166666667,2.80256816373e+09,1.12102726549,0,265,0.001,0.07,0.165,2,402.145,138.619,407.363,97,281.969,70.61825,0.001,8.33333333333e-05,2450.634,20.42195,9.952,0.001,0.07
CLOUDSUITE_WEBSEARCH_AGG,1511391925808678377,search.9H,1511391925381,4,0,True,0.97,48.5,1.14311877558e+10,32.6605364451,5.339953067e+06,21.359812268,2.01988465853e+09,33.6647443089,40.376,40.376,8524,56.8266666667,33.439,0.104496875,0,0,3.21168959533e+08,9.73239271312,8284.57,0.002588928125,36.904,36.904,6.8177291667e+07,0.0757525462967,8523,47.35,2.67264248127e+09,1.06905699251,0,280,0.001,0.067,0.13,2,405.317,133.398,409.949,97,250.519,57.62325,0.001,8.33333333333e-05,2452.938,20.44115,10.285,0.001,0.067
CLOUDSUITE_WEBSEARCH_AGG,1511391941615798043,search.9H,1511391940381,3,0,True,0.984,49.2,1.22599526017e+10,35.0284360048,5.481592667e+06,21.926370668,2.1657138316e+09,36.0952305267,41.895,41.895,9209,61.3933333333,45.973,0.143665625,0,0,3.32562569933e+08,10.0776536343,8285.009,0.0025890653125,39.232,39.232,5.7773070933e+07,0.0641923010367,9208,51.1555555556,3.07802684787e+09,1.23121073915,0,295,0.001,0.07,0.173,2,1212.652,143.413,1217.059,93,225.958,57.92325,0.001,8.33333333333e-05,2455.017,20.458475,9.545,0.001,0.07
CLOUDSUITE_WEBSEARCH_AGG,1511391955783642921,search.9H,1511391955381,3,0,True,1.034,51.7,1.22057226873e+10,34.8734933923,5.0697637e+06,20.2790548,2.1302642265e+09,35.504403775,41.743,41.743,8800,58.6666666667,51.788,0.1618375,0,0,3.102009762e+08,9.40002958182,8286.24,0.00258945,38.665,38.665,1.097739013e+08,0.121971001444,8800,48.8888888889,3.4112481442e+09,1.36449925768,0,310,0.001,0.099,0.31,2,379.887,131.599,385.083,93,239.506,81.8033333333,8.054,0.671166666667,2458.746,20.48955,10.349,8.054,0.099
CLOUDSUITE_WEBSEARCH_AGG,1511391971594969463,search.9H,1511391970381,4,0,True,1.001,50.05,1.20353149451e+10,34.3866141288,5.081561467e+06,20.326245868,2.1199687246e+09,35.3328120767,41.294,41.294,8924,59.4933333333,52.533,0.164165625,0,0,3.17667530933e+08,9.62628881615,8284.831,0.0025890096875,36.24,36.24,4.8856758133e+07,0.0542852868144,8924,49.5777777778,4.562921593e+09,1.8251686372,0,325,0.001,0.114,0.255,2,1193.473,134.8,1198.189,93,250.788,74.849,7.094,0.591166666667,2459.991,20.499925,9.325,7.094,0.114
