interval,count
300,1
600,1
900,1
1200,1
1500,6
1800,1
2100,1
2400,1
2700,1
3000,1
3300,1
3600,1
3900,2
4200,2
4500,2
4800,2
5100,4
5400,3
5700,2
6000,1
6300,1
6600,3
6900,6
7200,1
7500,1
7800,0
8100,1
8400,0
8700,1
9000,1
9300,2
9600,7
9900,8
10200,6
10500,4
10800,4
11100,5
11400,3
11700,10
12000,9
12300,6
12600,5
12900,4
13200,3
13500,3
13800,3
14100,3
14400,3
14700,5
15000,4
15300,3
15600,3
15900,3
16200,2
16500,4
16800,4
17100,6
17400,3
17700,2
18000,1
18300,1
18600,1
18900,1
19200,1
19500,2
19800,2
20100,4
20400,1
20700,1
21000,2
21300,2
21600,1
21900,1
22200,1
22500,1
22800,1
23100,1
23400,1
23700,1
24000,1
24300,1
24600,1
24900,1
25200,1
25500,2
25800,2
26100,2
26400,1
26700,2
27000,2
27300,2
27600,1
27900,1
28200,2
28500,2
28800,4
29100,3
29400,0
29700,0
30000,1
30300,1
30600,1
30900,2
31200,5
31500,3
31800,7
32100,8
32400,8
32700,4
33000,2
33300,2
33600,3
33900,2
34200,2
34500,1
34800,2
35100,1
35400,1
35700,1
36000,1
36300,2
36600,2
36900,3
37200,3
37500,3
37800,2
38100,1
38400,2
38700,1
39000,1
39300,3
39600,6
39900,3
40200,2
40500,3
40800,3
41100,5
41400,4
41700,5
42000,9
42300,6
42600,6
42900,6
43200,7
43500,6
43800,4
44100,2
44400,2
44700,3
45000,2
45300,6
45600,13
45900,11
46200,12
46500,11
46800,11
47100,9
47400,9
47700,2
48000,1
48300,4
48600,2
48900,1
49200,1
49500,1
49800,0
50100,0
50400,1
